«1728-0000»,【 カンマ区切りテキスト形式です。】
«1728-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1728-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1728-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1728-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1728-0050»,【 外部リンク　】
«1728-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/111 ～ 115】
«1728-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1728h　(翻刻編集終了データを表成型して表示します)】
«1728-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1728ht (翻刻編集中データを表成型して表示します)】
«1728-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1728-0100»,«版元»,出版地○○,出版元□□□,　
«1728-1880»,«暦日2»,十三〳,みつのえたつ,おさん,水,とようたつの四刻ニ入,大みやう 五む日 めつもん
«1728-1890»,«暦日0»,十四〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1728-1900»,«暦日2»,十五〳,きのえむま,とつ,金,　,●
«1728-1910»,«暦日0»,十六〳,きのとのひつし,たつ,,六月中みの初刻,大みやう 五む日
«1728-1920»,«暦日2»,十七〳,ひのえさる,のそく,火,　,神よし きしく
«1728-1930»,«暦日0»,十八〳,ひのとのとり,みつ,,　,さい下しき 神よし ちいみ  くさかりよし
«1728-1940»,«暦日2»,十九〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1728-1950»,«暦日0»,廿〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1728-1960»,«暦日2»,廿一〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1728-1970»,«暦日0»,廿二〳,かのとのうし,やふる,,　,十し
«1728-1980»,«暦日2»,廿三〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1728-1990»,«暦日0»,廿四〳,みつのとのう,なる,,　,天火 らうしやく わうまう
«1728-2000»,«暦日2»,廿五〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1728-2010»,«暦日0»,廿六〳,きのとのみ,ひらく,,　,大みやう ちう日
«1728-2020»,«暦日2»,廿七〳,ひのえむま,とつ,水,　,●
«1728-2030»,«暦日0»,廿八〳,ひのとのひつし,たつ,,　,くゑ日
«1728-2040»,«暦日2»,廿九〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1728-2050»,«暦日0»,卅〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1728-2060»,«月序»,七月,小,建,庚申,奎宿　牛　金よう
«1728-2070»,«暦日2»,一〳,かのえいぬ,みつ,金,立秋七月せつひつしの五刻ニ入|末伏,大みやう ふく日
«1728-2080»,«暦日0»,二〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1728-2090»,«暦日2»,三〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1728-2100»,«暦日0»,四〳,みつのとのうし,とる,,ま日,●
«1728-2110»,«暦日2»,五〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1728-2120»,«暦日0»,六〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1728-2130»,«暦日2»,七〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1728-2140»,«暦日0»,八〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1728-2150»,«暦日2»,九〳,つちのえむま,ひらく,火,ま日,天火 らうしやく わうまう  入学よし
«1728-2160»,«暦日0»,十〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1728-2170»,«暦日2»,十一〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1728-2180»,«暦日0»,十二〳,かのとのとり,のそく,,　,十し
«1728-2190»,«暦日2»,十三〳,みつのえいぬ,みつ,水,ま日
«1728-2200»,«暦日0»,十四〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1728-2210»,«食記»,月そく七分
«1728-2220»,«暦日2»,十五〳,きのえね,さたん,金,　,きしく ふく日  ふねのりよし
«1728-2230»,«暦日0»,十六〳,きのとのうし,とる,,七月中いぬの二刻,●
«1728-2240»,«暦日2»,十七〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1728-2250»,«暦日0»,十八〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1728-2260»,«暦日2»,十九〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1728-2270»,«暦日0»,廿〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1728-2280»,«暦日2»,廿一〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1728-2290»,«暦日0»,廿二〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1728-2300»,«暦日2»,廿三〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1728-2310»,«暦日0»,廿四〳,みつのとのとり,のそく,,　,十し
«1728-2320»,«暦日2»,廿五〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1728-2330»,«暦日0»,廿六〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1728-2340»,«暦日2»,廿七〳,ひのえね,さたん,水,二百十日, 田かりよし
«1728-2350»,«暦日0»,廿八〳,ひのとのうし,とる,,　,●
«1728-2360»,«暦日1»,廿九〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1728-2370»,«月序»,八月,小,建,辛酉,婁宿　女　土よう
«1728-2380»,«暦日1»,一〳,つちのとのう,あやふ,土,　,神よし 大みやう  みそすつくりよし
«1728-2390»,«暦日2»,二〳,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
«1728-2400»,«暦日0»,三〳,かのとのみ,なる,,八月せつねの七刻ニ入,十し
«1728-2410»,«暦日2»,四〳,みつのえむま,おさん,木,　,大みやう めつもん
«1728-2420»,«暦日0»,五〳,みつのとのひつし,ひらく,,　,●
«1728-2430»,«暦日2»,六〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1728-2440»,«暦日0»,七〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
