《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2660》,《暦日2》,十四／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2670》,《暦日0》,十五／,かのとのい,みつ,,　,さい下しき 神よし 大みやう ちう日 ふく日
《2680》,《暦日2》,十六／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《2690》,《暦日0》,十七／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《2700》,《暦日2》,十八／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2710》,《暦日0》,十九／,きのとのう,やふる,,　,くゑ日 ふく日
《2720》,《暦日2》,廿／,ひのえたつ,あやふ,土,ま日,大みやう
《2730》,《暦日0》,廿一／,ひのとのみ,なる,,　,十し
《2740》,《暦日2》,廿二／,つちのえむま,おさん,火,ま日,めつもん
《2750》,《暦日0》,廿三／,つちのとのひつし,ひらく,,　,●
《2760》,《暦日2》,廿四／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《2770》,《暦日0》,廿五／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《2780》,《節中》,寒露九月せついの八刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2790》,《暦日2》,廿六／,みつのえいぬ,たつ,水,ま日, 田かりよし
《2800》,《暦日0》,廿七／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《2810》,《暦日2》,廿八／,きのえね,みつ,金,　,きこ 天火 らうしやく
《2820》,《暦日0》,廿九／,きのとのうし,たいら,,　,十し
《2830》,《暦日1》,卅／,ひのえとら,さたん,火,　,●
《2840》,《月序》,九月,小,建,丙戌,室宿　井　木よう
《2850》,《暦日1》,一／,ひのとのう,とる,火,　,神よし  田かりよし
《2860》,《暦日2》,二／,つちのえたつ,やふる,木,　,きしく 五む日 ふく日
《2870》,《暦日0》,三／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《2880》,《暦日2》,四／,かのえむま,なる,土,　,神よし  みそすつくりよし
《2890》,《暦日0》,五／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《2900》,《暦日2》,六／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2910》,《暦日0》,七／,みつのとのとり,とつ,,　,神よし 大みやう
《2920》,《暦日2》,八／,きのえいぬ,たつ,火,とようとらの初刻ニ入,くゑ日
《2930》,《暦日0》,九／,きのとのい,のそく,,　,ちう日  田かりよし
《2940》,《暦日2》,十／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《2950》,《暦日0》,十一／,ひのとのうし,たいら,,　,十し
