《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2800》,《月序》,九月,小,建,戊戌,角宿　鬼　金よう
《2810》,《暦日2》,一／,みつのえたつ,あやふ,水,　,きしく 大みやう 五む日
《2820》,《暦日0》,二／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2830》,《節中》,寒露九月せつみの三刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2840》,《暦日2》,三／,きのえむま,なる,金,　,くゑ日
《2850》,《暦日0》,四／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《2860》,《暦日2》,五／,ひのえさる,ひらく,火,　,くゑ日
《2870》,《暦日0》,六／,ひのとのとり,とつ,,　,くゑ日
《2880》,《暦日2》,七／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《2890》,《暦日0》,八／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《2900》,《暦日2》,九／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《2910》,《暦日0》,十／,かのとのうし,たいら,,　,十し
《2920》,《暦日2》,十一／,みつのえとら,さたん,金,　,●
《2930》,《暦日0》,十二／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《2940》,《暦日2》,十三／,きのえたつ,やふる,火,　,大みやう
《2950》,《暦日0》,十四／,きのとのみ,あやふ,,とようひつしの三刻ニ入,神よし 大みやう ちいみ ちう日 下しきひつしの時
《2960》,《暦日2》,十五／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《2970》,《暦日0》,十六／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《2980》,《暦日1》,十七／,つちのえさる,ひらく,土,　,天しや よろつよし
