«1753-0000»,【 カンマ区切りテキスト形式です。】
«1753-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1753-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1753-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1753-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1753-0050»,【 外部リンク　】
«1753-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/38 ～ 43】
«1753-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1753h　(翻刻編集終了データを表成型して表示します)】
«1753-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1753ht (翻刻編集中データを表成型して表示します)】
«1753-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1753-0100»,«版元»,出版地○○,出版元□□□,　
«1753-2030»,«暦日0»,十七〳,かのとのうし,やふる,,　,十し
«1753-2040»,«暦日2»,十八〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1753-2050»,«暦日0»,十九〳,みつのとのう,なる,,とようひつしの五刻ニ入,神よし 天火 らうしやく
«1753-2060»,«暦日2»,廿〳,きのえたつ,おさん,火,　,きしく 大みやう めつもん  わたましよし
«1753-2070»,«暦日0»,廿一〳,きのとのみ,ひらく,,　,大みやう ちう日
«1753-2080»,«暦日1»,廿二〳,ひのえむま,とつ,水,　,●
«1753-2090»,«節中»,大暑六月中さるの一刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1753-2100»,«暦日1»,廿三〳,ひのとのひつし,たつ,水,　,くゑ日
«1753-2110»,«暦日2»,廿四〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1753-2120»,«暦日0»,廿五〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1753-2130»,«暦日2»,廿六〳,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火
«1753-2140»,«暦日0»,廿七〳,かのとのい,さたん,,　,大みやう ちう日
«1753-2150»,«暦日2»,廿八〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1753-2160»,«暦日0»,廿九〳,みつのとのうし,やふる,,ま日,十し
«1753-2170»,«月序»,七月,大,建,庚申,箕宿　心　月よう
«1753-2180»,«暦日2»,一〳,きのえとら,あやふ,水,　,わうまう  やたて  つめとりよし
«1753-2190»,«暦日0»,二〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1753-2200»,«暦日2»,三〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1753-2210»,«暦日0»,四〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1753-2220»,«暦日2»,五〳,つちのえむま,とつ,火,ま日,●
«1753-2230»,«暦日0»,六〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1753-2240»,«暦日2»,七〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1753-2250»,«暦日0»,八〳,かのとのとり,のそく,,　,十し
«1753-2260»,«節中»,立秋七月せついぬの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1753-2270»,«暦日2»,九〳,みつのえいぬ,みつ,水,ま日
«1753-2280»,«暦日0»,十〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1753-2290»,«暦日2»,十一〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1753-2300»,«暦日0»,十二〳,きのとのうし,とる,,　,●
«1753-2310»,«暦日2»,十三〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1753-2320»,«暦日0»,十四〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1753-2330»,«暦日2»,十五〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1753-2340»,«暦日0»,十六〳,つちのとのみ,おさん,,　,大くわ ちう日 わうまう
«1753-2350»,«暦日2»,十七〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1753-2360»,«暦日0»,十八〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1753-2370»,«暦日2»,十九〳,みつのえさる,たつ,金,　,神よし きしく 大みやう 下しきみの時
«1753-2380»,«暦日0»,廿〳,みつのとのとり,のそく,,　,十し
«1753-2390»,«暦日2»,廿一〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1753-2400»,«暦日0»,廿二〳,きのとのい,たいら,,　,ちう日 めつもん 地火
