«1688-0000»,【 カンマ区切りテキスト形式です。】
«1688-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1688-2210»,«暦日2»,十六〳,ひのえいぬ,みつ,土,　,五む日
«1688-2220»,«暦日0»,十七〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1688-2230»,«暦日2»,十八〳,つちのえね,さたん,火,　,きしく わうまう  けんふく くさかりよし
«1688-2240»,«暦日0»,十九〳,つちのとのうし,とる,,　,●
«1688-2250»,«暦日2»,廿〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1688-2260»,«暦日0»,廿一〳,かのとのう,あやふ,,　,神よし
«1688-2270»,«暦日2»,廿二〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
«1688-2280»,«暦日0»,廿三〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1688-2290»,«暦日2»,廿四〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1688-2300»,«暦日0»,廿五〳,きのとのひつし,とつ,,　,大みやう 五む日
«1688-2310»,«暦日2»,廿六〳,ひのえさる,たつ,火,七月中とらの二刻,神よし 下しきみの時  入学よし
«1688-2320»,«暦日0»,廿七〳,ひのとのとり,のそく,,　,十し
«1688-2330»,«暦日2»,廿八〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1688-2340»,«暦日0»,廿九〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1688-2350»,«暦日1»,卅〳,かのえね,さたん,土,　,神よし ふく日
«1688-2360»,«月序»,八月,小,建,辛酉,危宿　斗　木よう
«1688-2370»,«暦日1»,一〳,かのとのうし,とる,土,　,●
«1688-2380»,«暦日2»,二〳,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
«1688-2390»,«暦日0»,三〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1688-2400»,«暦日2»,四〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1688-2410»,«暦日0»,五〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1688-2420»,«暦日2»,六〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1688-2430»,«暦日0»,七〳,ひのとのひつし,とつ,,二百十日,神よし  いちたちよし
«1688-2440»,«暦日2»,八〳,つちのえさる,たつ,土,　,天しや よろつよし
«1688-2450»,«暦日0»,九〳,つちのとのとり,のそく,,　,十し
«1688-2460»,«暦日2»,十〳,かのえいぬ,みつ,金,　,大みやう ふく日
«1688-2470»,«暦日0»,十一〳,かのとのい,みつ,,八月せつたつの七刻ニ入,神よし 大みやう ちう日 ふく日
«1688-2480»,«暦日2»,十二〳,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
«1688-2490»,«暦日0»,十三〳,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
«1688-2500»,«暦日2»,十四〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1688-2510»,«暦日0»,十五〳,きのとのう,やふる,,　,くゑ日 ふく日
«1688-2520»,«暦日2»,十六〳,ひのえたつ,あやふ,土,ま日,きしく 大みやう
«1688-2530»,«暦日0»,十七〳,ひのとのみ,なる,,二百廿日,十し
«1688-2540»,«暦日2»,十八〳,つちのえむま,おさん,火,ま日,めつもん
«1688-2550»,«暦日0»,十九〳,つちのとのひつし,ひらく,,　,●
«1688-2560»,«暦日2»,廿〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1688-2570»,«暦日0»,廿一〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1688-2580»,«暦日2»,廿二〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1688-2590»,«暦日0»,廿三〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1688-2600»,«暦日2»,廿四〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1688-2610»,«暦日0»,廿五〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1688-2620»,«暦日2»,廿六〳,ひのえとら,とる,火,秋分八月中ひつしの四刻,きこ  つめとりよし
«1688-2630»,«暦日0»,廿七〳,ひのとのう,やふる,,　, 田かりよし
«1688-2640»,«暦日2»,廿八〳,つちのえたつ,あやふ,木,社日|ひかんニなる,五む日 わうまう  みそすつくりよし
«1688-2650»,«暦日0»,廿九〳,つちのとのみ,なる,,　,十し
«1688-2660»,«月序»,九月,大,建,壬戌,室宿　牛　金よう
«1688-2670»,«暦日2»,一〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1688-2680»,«暦日0»,二〳,かのとのひつし,ひらく,,　,●
«1688-2690»,«暦日2»,三〳,みつのえさる,とつ,金,　,神よし 大みやう
«1688-2700»,«暦日0»,四〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1688-2710»,«暦日2»,五〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1688-2720»,«暦日0»,六〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1688-2730»,«暦日2»,七〳,ひのえね,たいら,水,　,大くわ 地火
«1688-2740»,«暦日0»,八〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1688-2750»,«暦日2»,九〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1688-2760»,«暦日0»,十〳,つちのとのう,やふる,,　,大みやう
«1688-2770»,«暦日2»,十一〳,かのえたつ,あやふ,金,　
«1688-2780»,«暦日0»,十二〳,かのとのみ,あやふ,,かん露九月せついぬの一刻ニ入,ちいみ ちう日 下しきひつしの時
«1688-2790»,«暦日2»,十三〳,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
«1688-2800»,«暦日0»,十四〳,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
«1688-2810»,«暦日2»,十五〳,きのえさる,ひらく,水,十方くれニ入,きしく 大みやう
«1688-2820»,«暦日0»,十六〳,きのとのとり,とつ,,　
«1688-2830»,«食記»,月蝕六分,　
«1688-2840»,«暦日2»,十七〳,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
«1688-2850»,«暦日0»,十八〳,ひのとのい,のそく,,　,大みやう ちう日
«1688-2860»,«暦日2»,十九〳,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
«1688-2870»,«暦日0»,廿〳,つちのとのうし,たいら,,　,十し
