«1830-0000»,【 カンマ区切りテキスト形式です。】
«1830-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1830-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1830-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1830-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1830-0050»,【 外部リンク　】
«1830-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/108 ～ 112】
«1830-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1830h　(翻刻編集終了データを表成型して表示します)】
«1830-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1830ht (翻刻編集中データを表成型して表示します)】
«1830-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1830-0100»,«版元»,出版地○○,出版元□□□,　
«1830-1680»,«暦日1»,十七〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1830-1690»,«節中»,芒種五月せつむまの五刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1830-1700»,«暦日1»,十八〳,きのとのみ,とつ,火,　,十し
«1830-1710»,«暦日2»,十九〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1830-1720»,«暦日0»,廿〳,ひのとのひつし,のそく,,　,神よし ふく日
«1830-1730»,«暦日2»,廿一〳,つちのえさる,みつ,土,　,神よし きしく  入学よし
«1830-1740»,«暦日0»,廿二〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1830-1750»,«暦日2»,廿三〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1830-1760»,«暦日0»,廿四〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1830-1770»,«暦日2»,廿五〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1830-1780»,«暦日0»,廿六〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1830-1790»,«暦日2»,廿七〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1830-1800»,«暦日0»,廿八〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1830-1810»,«暦日2»,廿九〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1830-1820»,«暦日0»,卅〳,ひのとのみ,とつ,,　,十し
«1830-1830»,«月序»,五月,小,建,壬午,心宿　心　月よう
