«1769-0000»,【 カンマ区切りテキスト形式です。】
«1769-2490»,«暦日2»,三〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1769-2500»,«暦日0»,四〳,みつのとのうし,とる,,ま日,●
«1769-2510»,«暦日2»,五〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1769-2520»,«暦日0»,六〳,きのとのう,やふる,,　,くゑ日 ふく日
«1769-2530»,«節中»,白露八月せついぬの八刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1769-2540»,«暦日2»,七〳,ひのえたつ,あやふ,土,ま日,大みやう 母倉
«1769-2550»,«暦日0»,八〳,ひのとのみ,なる,,　,十し
«1769-2560»,«暦日2»,九〳,つちのえむま,おさん,火,ま日,めつもん
«1769-2570»,«暦日0»,十〳,つちのとのひつし,ひらく,,　,●
«1769-2580»,«暦日2»,十一〳,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
«1769-2590»,«暦日0»,十二〳,かのとのとり,たつ,,二百廿日,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1769-2600»,«暦日2»,十三〳,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
«1769-2610»,«暦日0»,十四〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1769-2620»,«暦日2»,十五〳,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
«1769-2630»,«暦日0»,十六〳,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
«1769-2640»,«暦日2»,十七〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
«1769-2650»,«暦日0»,十八〳,ひのとのう,やふる,,　,天おん  田かりよし
«1769-2660»,«暦日2»,十九〳,つちのえたつ,あやふ,木,社日,天おん 母倉 五む日  みそすつくりよし
«1769-2670»,«暦日0»,廿〳,つちのとのみ,なる,,　,十し
«1769-2680»,«暦日2»,廿一〳,かのえむま,おさん,土,ひかんニなる,月とく めつもん  竹木こりよし
«1769-2690»,«暦日0»,廿二〳,かのとのひつし,ひらく,,　,●
«1769-2700»,«節中»,秋分八月中今暁うしの五刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1769-2710»,«暦日2»,廿三〳,みつのえさる,とつ,金,　,きしく 大みやう わうまう
«1769-2720»,«暦日0»,廿四〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
