《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2730》,《暦日2》,廿一／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2740》,《暦日0》,廿二／,きのとのうし,たいら,,　,十し
《2750》,《節中》,寒露九月せつたつの五刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2760》,《暦日2》,廿三／,ひのえとら,さたん,火,　,●
《2770》,《暦日0》,廿四／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《2780》,《暦日2》,廿五／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《2790》,《暦日0》,廿六／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《2800》,《暦日2》,廿七／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《2810》,《暦日0》,廿八／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《2820》,《暦日2》,廿九／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2830》,《暦日0》,卅／,みつのとのとり,とつ,,　,神よし 大みやう
《2840》,《月序》,九月,小,建,丙戌,室宿　室　火よう
《2850》,《暦日2》,一／,きのえいぬ,たつ,火,　,くゑ日
《2860》,《暦日0》,二／,きのとのい,のそく,,　,ちう日  田かりよし
《2870》,《暦日2》,三／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《2880》,《暦日0》,四／,ひのとのうし,たいら,,とようむまの六刻ニ入,十し
《2890》,《暦日2》,五／,つちのえとら,さたん,土,　,●
《2900》,《暦日0》,六／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《2910》,《暦日1》,七／,かのえたつ,やふる,金,　,天おん
《2920》,《節中》,霜降九月中ひつしの二刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《2930》,《暦日1》,八／,かのとのみ,あやふ,金,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《2940》,《暦日2》,九／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
