«1817-0000»,【 カンマ区切りテキスト形式です。】
«1817-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1817-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1817-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1817-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1817-0050»,【 外部リンク　】
«1817-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/52 ～ 56】
«1817-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1817h　(翻刻編集終了データを表成型して表示します)】
«1817-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1817ht (翻刻編集中データを表成型して表示します)】
«1817-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1817-0100»,«版元»,出版地○○,出版元□□□,　
«1817-1710»,«暦日2»,十七〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1817-1720»,«暦日0»,十八〳,かのとのとり,たいら,,はんけしやう,神よし 大みやう 月とく めつもん 地火
«1817-1730»,«暦日2»,十九〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1817-1740»,«暦日0»,廿〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1817-1750»,«暦日2»,廿一〳,きのえね,やふる,金,　,●
«1817-1760»,«暦日0»,廿二〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1817-1770»,«暦日1»,廿三〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1817-1780»,«節中»,小暑六月せついぬの初刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1817-1790»,«暦日1»,廿四〳,ひのとのう,なる,火,　,神よし 天おん 天火 らうしやく
«1817-1800»,«暦日2»,廿五〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1817-1810»,«暦日0»,廿六〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1817-1820»,«暦日2»,廿七〳,かのえむま,とつ,土,　,●
«1817-1830»,«暦日0»,廿八〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1817-1840»,«暦日1»,廿九〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1817-1850»,«月序»,六月,大,建,丁未,昴宿　危　月よう
«1817-1860»,«暦日1»,一〳,みつのとのとり,みつ,金,　,神よし 大みやう ちいみ  みそすつくりよし
«1817-1870»,«暦日2»,二〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1817-1880»,«暦日0»,三〳,きのとのい,さたん,,　,ちう日
«1817-1890»,«暦日2»,四〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1817-1900»,«暦日0»,五〳,ひのとのうし,やふる,,　,十し
«1817-1910»,«暦日2»,六〳,つちのえとら,あやふ,土,とよう今夜ねの一刻ニ入,ふく日  たねまき  つめとりよし
«1817-1920»,«暦日0»,七〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1817-1930»,«暦日2»,八〳,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
«1817-1940»,«暦日0»,九〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1817-1950»,«暦日1»,十〳,みつのえむま,とつ,木,　,●
«1817-1960»,«節中»,大暑六月中今暁ねの五刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1817-1970»,«暦日1»,十一〳,みつのとのひつし,たつ,木,　,天おん  たねまきよし
«1817-1980»,«暦日2»,十二〳,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう 月とく
«1817-1990»,«暦日0»,十三〳,きのとのとり,みつ,,　,神よし ちいみ
«1817-2000»,«暦日2»,十四〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1817-2010»,«暦日0»,十五〳,ひのとのい,さたん,,　,大みやう ちう日
«1817-2020»,«暦日2»,十六〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1817-2030»,«暦日0»,十七〳,つちのとのうし,やふる,,　,十し
«1817-2040»,«暦日2»,十八〳,かのえとら,あやふ,木,中伏,さい下しき 母倉  やたて  つめとりよし
«1817-2050»,«暦日0»,十九〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1817-2060»,«暦日2»,廿〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1817-2070»,«暦日0»,廿一〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1817-2080»,«暦日2»,廿二〳,きのえむま,とつ,金,　,●
«1817-2090»,«暦日0»,廿三〳,きのとのひつし,たつ,,　,大みやう 五む日
«1817-2100»,«暦日2»,廿四〳,ひのえさる,のそく,火,　,神よし
«1817-2110»,«暦日0»,廿五〳,ひのとのとり,のそく,,　,十し
«1817-2120»,«節中»,立秋七月せつうの二刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1817-2130»,«暦日2»,廿六〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1817-2140»,«暦日0»,廿七〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1817-2150»,«暦日2»,廿八〳,かのえね,さたん,土,末伏,神よし ふく日
«1817-2160»,«暦日0»,廿九〳,かのとのうし,とる,,　,●
«1817-2170»,«暦日1»,卅〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1817-2180»,«月序»,七月,小,建,戊申,畢宿　壁　水よう
«1817-2190»,«暦日1»,一〳,みつのとのう,あやふ,金,　,神よし  わたまし みそすつくりよし
«1817-2200»,«暦日2»,二〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1817-2210»,«暦日0»,三〳,きのとのみ,おさん,,　,大みやう 大くわ ちう日 わうまう  けんふくよし
«1817-2220»,«暦日2»,四〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
