«1686-0000»,【 カンマ区切りテキスト形式です。】
«1686-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1686-2210»,«暦日0»,十五〳,ひのとのう,なる,,　,さい下しき 神よし 天火 らうしやく
«1686-2220»,«暦日2»,十六〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1686-2230»,«暦日0»,十七〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1686-2240»,«暦日2»,十八〳,かのえむま,ひらく,土,立秋七月せつみの五刻ニ入|末伏,神よし ふく日 天火 らうしやく
«1686-2250»,«暦日0»,十九〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1686-2260»,«暦日2»,廿〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1686-2270»,«暦日0»,廿一〳,みつのとのとり,のそく,,　,十し
«1686-2280»,«暦日2»,廿二〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1686-2290»,«暦日0»,廿三〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1686-2300»,«暦日2»,廿四〳,ひのえね,さたん,水,　, 田かりよし
«1686-2310»,«暦日0»,廿五〳,ひのとのうし,とる,,　,●
«1686-2320»,«暦日2»,廿六〳,つちのえとら,やふる,土,　,わうまう  たねまき  つめとりよし
«1686-2330»,«暦日0»,廿七〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1686-2340»,«暦日2»,廿八〳,かのえたつ,なる,金,　,きしく ちいみ ふく日  かといてよし
«1686-2350»,«暦日0»,廿九〳,かのとのみ,おさん,,　,大くわ ちう日
«1686-2360»,«暦日1»,卅〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1686-2370»,«月序»,七月,大,建,丙申,奎宿　張　月よう
«1686-2380»,«暦日1»,一〳,みつのとのひつし,とつ,木,　
«1686-2390»,«暦日2»,二〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1686-2400»,«暦日0»,三〳,きのとのとり,のそく,,七月中さるの二刻,十し
«1686-2410»,«暦日2»,四〳,ひのえいぬ,みつ,土,　,五む日
«1686-2420»,«暦日0»,五〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1686-2430»,«暦日2»,六〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1686-2440»,«暦日0»,七〳,つちのとのうし,とる,,　,●
«1686-2450»,«暦日2»,八〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1686-2460»,«暦日0»,九〳,かのとのう,あやふ,,　,神よし
«1686-2470»,«暦日2»,十〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
«1686-2480»,«暦日0»,十一〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1686-2490»,«暦日2»,十二〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1686-2500»,«暦日0»,十三〳,きのとのひつし,とつ,,　,大みやう 五む日
«1686-2510»,«暦日2»,十四〳,ひのえさる,たつ,火,二百十日,神よし 下しきみの時  入学よし
«1686-2520»,«暦日0»,十五〳,ひのとのとり,のそく,,　,十し
«1686-2530»,«暦日2»,十六〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
