《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/105 ～ 111
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1767g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1767h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2360》,《暦日2》,十六／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2370》,《暦日0》,十七／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2380》,《暦日2》,十八／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《2390》,《暦日0》,十九／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2400》,《暦日2》,廿／,みつのえむま,ひらく,木,　,大みやう 天おん 月とく 天火 らうしやく わうまう
《2410》,《暦日0》,廿一／,みつのとのひつし,とつ,,　,天おん 母倉
《2420》,《暦日2》,廿二／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2430》,《暦日0》,廿三／,きのとのとり,のそく,,　,十し
《2440》,《暦日2》,廿四／,ひのえいぬ,みつ,土,　,母倉 五む日
《2450》,《暦日0》,廿五／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2460》,《暦日2》,廿六／,つちのえね,さたん,火,　, けんふく くさかりよし
《2470》,《暦日0》,廿七／,つちのとのうし,とる,,　,●
《2480》,《暦日1》,廿八／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2490》,《節中》,処暑七月中今暁とらの五刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2500》,《暦日1》,廿九／,かのとのう,あやふ,木,　,神よし
《2510》,《月序》,八月,大,建,己酉,斗宿　畢　月よう
《2520》,《暦日2》,一／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2530》,《暦日0》,二／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2540》,《暦日2》,三／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2550》,《暦日0》,四／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2560》,《暦日2》,五／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
《2570》,《暦日0》,六／,ひのとのとり,のそく,,　,十し
《2580》,《暦日2》,七／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
