«1799-0000»,【 カンマ区切りテキスト形式です。】
«1799-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1799-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1799-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1799-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1799-0050»,【 外部リンク　】
«1799-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/256 ～ 261】
«1799-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1799h　(翻刻編集終了データを表成型して表示します)】
«1799-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1799ht (翻刻編集中データを表成型して表示します)】
«1799-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1799-0100»,«版元»,出版地○○,出版元□□□,　
«1799-1620»,«暦日2»,八〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1799-1630»,«暦日0»,九〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1799-1640»,«暦日2»,十〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1799-1650»,«暦日0»,十一〳,つちのとのみ,とつ,,　,十し
«1799-1660»,«暦日2»,十二〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1799-1670»,«暦日0»,十三〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1799-1680»,«暦日2»,十四〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1799-1690»,«暦日0»,十五〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1799-1700»,«暦日2»,十六〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1799-1710»,«暦日0»,十七〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1799-1720»,«暦日2»,十八〳,ひのえね,やふる,水,　,●
«1799-1730»,«暦日0»,十九〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1799-1740»,«節中»,夏至五月中うの初刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1799-1750»,«暦日2»,廿〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1799-1760»,«暦日0»,廿一〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1799-1770»,«暦日2»,廿二〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1799-1780»,«暦日0»,廿三〳,かのとのみ,とつ,,　,十し
«1799-1790»,«暦日2»,廿四〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1799-1800»,«暦日0»,廿五〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1799-1810»,«暦日2»,廿六〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1799-1820»,«暦日0»,廿七〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1799-1830»,«暦日2»,廿八〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1799-1840»,«暦日0»,廿九〳,ひのとのい,とる,,はんけしやう,大みやう ちう日 ふく日
«1799-1850»,«月序»,六月,小,建,辛未,張宿　箕　水よう
