«1700-0000»,【 カンマ区切りテキスト形式です。】
«1700-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1700-2460»,«暦日0»,九〳,つちのとのみ,なる,,秋分八月中むまの二刻,十し
«1700-2470»,«暦日2»,十〳,かのえむま,おさん,土,　,めつもん  竹木こりよし
«1700-2480»,«暦日0»,十一〳,かのとのひつし,ひらく,,ひかんニなる,●
«1700-2490»,«暦日2»,十二〳,みつのえさる,とつ,金,　,神よし きしく 大みやう
«1700-2500»,«暦日0»,十三〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1700-2510»,«暦日2»,十四〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1700-2520»,«暦日0»,十五〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1700-2530»,«暦日2»,十六〳,ひのえね,たいら,水,　,大くわ 地火
«1700-2540»,«暦日0»,十七〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1700-2550»,«暦日2»,十八〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1700-2560»,«暦日0»,十九〳,つちのとのう,やふる,,　,大みやう
«1700-2570»,«暦日2»,廿〳,かのえたつ,あやふ,金,　
«1700-2580»,«暦日0»,廿一〳,かのとのみ,なる,,　,十し
«1700-2590»,«暦日2»,廿二〳,みつのえむま,おさん,木,　,大みやう めつもん
«1700-2600»,«暦日0»,廿三〳,みつのとのひつし,ひらく,,　,●
«1700-2610»,«暦日2»,廿四〳,きのえさる,ひらく,水,かん露九月せつさるの八刻ニ入|十方くれニ入,大みやう
«1700-2620»,«暦日0»,廿五〳,きのとのとり,とつ,,　,神よし  田かりよし
«1700-2630»,«暦日2»,廿六〳,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
«1700-2640»,«暦日0»,廿七〳,ひのとのい,のそく,,　,大みやう ちう日
«1700-2650»,«暦日2»,廿八〳,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
«1700-2660»,«暦日0»,廿九〳,つちのとのうし,たいら,,　,十し
«1700-2670»,«月序»,九月,大,建,丙戌,胃宿　室　火よう
«1700-2680»,«暦日2»,一〳,かのえとら,さたん,木,　,●
«1700-2690»,«暦日0»,二〳,かのとのう,とる,,　,くゑ日
«1700-2700»,«暦日2»,三〳,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
«1700-2710»,«暦日0»,四〳,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
«1700-2720»,«暦日2»,五〳,きのえむま,なる,金,　,くゑ日
«1700-2730»,«暦日0»,六〳,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
«1700-2740»,«暦日2»,七〳,ひのえさる,ひらく,火,とよういの初刻ニ入,くゑ日
«1700-2750»,«暦日0»,八〳,ひのとのとり,とつ,,　,くゑ日
«1700-2760»,«暦日2»,九〳,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
«1700-2770»,«暦日0»,十〳,つちのとのい,のそく,,九月中いの四刻,神よし ちう日 ふく日  むきまきよし
«1700-2780»,«暦日2»,十一〳,かのえね,みつ,土,　,神よし きしく きこ 天火 らうしやく
«1700-2790»,«暦日0»,十二〳,かのとのうし,たいら,,　,十し
«1700-2800»,«暦日2»,十三〳,みつのえとら,さたん,金,　,●
«1700-2810»,«暦日0»,十四〳,みつのとのう,とる,,　,神よし  けんふく かといてよし
«1700-2820»,«暦日2»,十五〳,きのえたつ,やふる,火,　,大みやう
«1700-2830»,«暦日0»,十六〳,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
«1700-2840»,«暦日2»,十七〳,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
«1700-2850»,«暦日0»,十八〳,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
«1700-2860»,«暦日2»,十九〳,つちのえさる,ひらく,土,　,天しや よろつよし
«1700-2870»,«暦日0»,廿〳,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
«1700-2880»,«暦日2»,廿一〳,かのえいぬ,たつ,金,　,大みやう くゑ日 わうまう
