《1831-0000》,# カンマ区切りテキスト形式です。
《1831-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1831-0020》,# ・表の区画内での改行は“/”で表記します。
《1831-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1831-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1831-0050》,# 外部リンク
《1831-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/113 ～ 117
《1831-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1831g　(GitHub上データを表成型)
《1831-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1831h　(翻刻編集データを表成型 - 未実装)
《1831-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1831-0100》,《版元》,出版地○○,出版元□□□,　
《1831-1690》,《暦日2》,十七／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1831-1700》,《暦日0》,十八／,つちのとのみ,とつ,,　,十し
《1831-1710》,《暦日2》,十九／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1831-1720》,《暦日0》,廿／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1831-1730》,《暦日2》,廿一／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1831-1740》,《暦日0》,廿二／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1831-1750》,《暦日2》,廿三／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1831-1760》,《暦日0》,廿四／,きのとのい,とる,,はんけしやう,ちう日  むきかり 田うへよし
《1831-1770》,《暦日2》,廿五／,ひのえね,やふる,水,　,●
《1831-1780》,《暦日0》,廿六／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1831-1790》,《暦日2》,廿七／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1831-1800》,《暦日0》,廿八／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1831-1810》,《暦日1》,廿九／,かのえたつ,おさん,金,　,きしく 天おん めつもん  けんふくよし
