《1802-0000》,# カンマ区切りテキスト形式です。
《1802-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1802-0020》,# ・表の区画内での改行は“/”で表記します。
《1802-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1802-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1802-0050》,# 外部リンク
《1802-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/271 ～ 275
《1802-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1802g　(GitHub上データを表成型)
《1802-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1802h　(翻刻編集データを表成型 - 未実装)
《1802-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1802-0100》,《版元》,出版地○○,出版元□□□,　
《1802-1940》,《節中》,小暑六月せつ今暁とらの三刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1802-1950》,《暦日1》,十／,つちのとのとり,みつ,土,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1802-1960》,《暦日2》,十一／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《1802-1970》,《暦日0》,十二／,かのとのい,さたん,,　,さい下しき 大みやう 天おん ちう日
《1802-1980》,《暦日2》,十三／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1802-1990》,《暦日0》,十四／,みつのとのうし,やふる,,ま日,十し
《1802-2000》,《暦日2》,十五／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1802-2010》,《暦日0》,十六／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1802-2020》,《暦日2》,十七／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《1802-2030》,《暦日0》,十八／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1802-2040》,《暦日2》,十九／,つちのえむま,とつ,火,ま日,●
《1802-2050》,《暦日0》,廿／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1802-2060》,《暦日2》,廿一／,かのえさる,のそく,木,初伏/とようたつの四刻ニ入,神よし 大みやう  くさかりよし
《1802-2070》,《暦日0》,廿二／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1802-2080》,《暦日2》,廿三／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1802-2090》,《暦日0》,廿四／,みつのとのい,さたん,,八せんのおはり,ちう日
《1802-2100》,《節中》,大暑六月中みの初刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1802-2110》,《暦日2》,廿五／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1802-2120》,《暦日0》,廿六／,きのとのうし,やふる,,　,十し
《1802-2130》,《暦日2》,廿七／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1802-2140》,《暦日0》,廿八／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1802-2150》,《暦日1》,廿九／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1802-2160》,《月序》,七月,大,建,戊申,箕宿　斗　木よう
《1802-2170》,《暦日1》,一／,つちのとのみ,ひらく,木,　,くゑ日 ちう日 ふく日
《1802-2180》,《暦日2》,二／,かのえむま,とつ,土,中伏,●
《1802-2190》,《暦日0》,三／,かのとのひつし,たつ,,　,大みやう わうまう  かといて ふねのりよし
《1802-2200》,《暦日2》,四／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1802-2210》,《暦日0》,五／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1802-2220》,《暦日2》,六／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1802-2230》,《暦日0》,七／,きのとのい,さたん,,　,ちう日
《1802-2240》,《暦日2》,八／,ひのえね,とる,水,　,きこ 下しきたつの時
《1802-2250》,《暦日0》,九／,ひのとのうし,やふる,,　,十し
《1802-2260》,《暦日1》,十／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1802-2270》,《節中》,立秋七月せつひつしの五刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1802-2280》,《暦日1》,十一／,つちのとのう,あやふ,土,　,神よし 大みやう 天おん  みそすつくりよし
《1802-2290》,《暦日2》,十二／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《1802-2300》,《暦日0》,十三／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1802-2310》,《暦日2》,十四／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1802-2320》,《暦日0》,十五／,みつのとのひつし,とつ,,　,天おん 母倉
《1802-2330》,《暦日2》,十六／,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
《1802-2340》,《暦日0》,十七／,きのとのとり,のそく,,　,十し
《1802-2350》,《暦日2》,十八／,ひのえいぬ,みつ,土,　,母倉 五む日 わうまう
