«1827-0000»,【 カンマ区切りテキスト形式です。】
«1827-1900»,«暦日0»,五〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1827-1910»,«暦日2»,六〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1827-1920»,«暦日0»,七〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1827-1930»,«暦日2»,八〳,みつのえね,やふる,木,八せんのはしめ,●
«1827-1940»,«暦日0»,九〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1827-1950»,«暦日2»,十〳,きのえとら,なる,水,はんけしやう,母倉 きこ  田うへ  つめとりよし
«1827-1960»,«暦日0»,十一〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1827-1970»,«暦日2»,十二〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1827-1980»,«暦日0»,十三〳,ひのとのみ,とつ,,　,十し
«1827-1990»,«暦日2»,十四〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1827-2000»,«暦日0»,十五〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1827-2010»,«節中»,小暑六月せつうの一刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1827-2020»,«暦日2»,十六〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1827-2030»,«暦日0»,十七〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1827-2040»,«暦日2»,十八〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1827-2050»,«暦日0»,十九〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1827-2060»,«暦日2»,廿〳,きのえね,とる,金,　,きしく 天おん 月とく きこ 下しきたつの時
«1827-2070»,«暦日0»,廿一〳,きのとのうし,やふる,,　,十し
«1827-2080»,«暦日2»,廿二〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1827-2090»,«暦日0»,廿三〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1827-2100»,«暦日2»,廿四〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1827-2110»,«暦日0»,廿五〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1827-2120»,«暦日2»,廿六〳,かのえむま,とつ,土,初伏,●
«1827-2130»,«暦日0»,廿七〳,かのとのひつし,たつ,,とようみの二刻ニ入,大みやう  かといて ふねのりよし
«1827-2140»,«暦日2»,廿八〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1827-2150»,«暦日0»,廿九〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1827-2160»,«暦日1»,卅〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1827-2170»,«節中»,大暑六月中みの六刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1827-2180»,«月序»,閏六月,小,隨節用之,尾　火よう
«1827-2190»,«暦日1»,一〳,きのとのい,さたん,火,　,ちう日
«1827-2200»,«暦日2»,二〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1827-2210»,«暦日0»,三〳,ひのとのうし,やふる,,　,十し
«1827-2220»,«暦日2»,四〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1827-2230»,«暦日0»,五〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1827-2240»,«暦日2»,六〳,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
«1827-2250»,«暦日0»,七〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1827-2260»,«暦日2»,八〳,みつのえむま,とつ,木,　,●
«1827-2270»,«暦日0»,九〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1827-2280»,«暦日2»,十〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1827-2290»,«暦日0»,十一〳,きのとのとり,みつ,,　,神よし ちいみ
«1827-2300»,«暦日2»,十二〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1827-2310»,«暦日0»,十三〳,ひのとのい,さたん,,　,大みやう ちう日
«1827-2320»,«暦日2»,十四〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1827-2330»,«暦日0»,十五〳,つちのとのうし,とる,,　,●
«1827-2340»,«節中»,立秋七月せつさるの三刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1827-2350»,«暦日2»,十六〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1827-2360»,«暦日0»,十七〳,かのとのう,あやふ,,　,神よし
«1827-2370»,«暦日2»,十八〳,みつのえたつ,なる,水,　,きしく 大みやう 母倉 月とく 五む日 ちいみ
«1827-2380»,«暦日0»,十九〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1827-2390»,«暦日2»,廿〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1827-2400»,«暦日0»,廿一〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1827-2410»,«暦日2»,廿二〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1827-2420»,«暦日0»,廿三〳,ひのとのとり,のそく,,　,十し
«1827-2430»,«暦日2»,廿四〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1827-2440»,«暦日0»,廿五〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1827-2450»,«暦日2»,廿六〳,かのえね,さたん,土,　,さい下しき 神よし ふく日
«1827-2460»,«暦日0»,廿七〳,かのとのうし,とる,,　,●
«1827-2470»,«暦日2»,廿八〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
