«1776-0000»,【 カンマ区切りテキスト形式です。】
«1776-2120»,«暦日2»,廿六〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1776-2130»,«暦日0»,廿七〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1776-2140»,«暦日2»,廿八〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1776-2150»,«暦日0»,廿九〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1776-2160»,«月序»,七月,大,建,丙申,氐宿　參　水よう
«1776-2170»,«暦日2»,一〳,かのえむま,ひらく,土,末伏,ふく日 天火 らうしやく わうまう
«1776-2180»,«暦日0»,二〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1776-2190»,«暦日2»,三〳,みつのえさる,たつ,金,　,神よし きしく 大みやう 月とく 下しきみの時
«1776-2200»,«暦日0»,四〳,みつのとのとり,のそく,,　,十し
«1776-2210»,«暦日2»,五〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1776-2220»,«暦日0»,六〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1776-2230»,«暦日2»,七〳,ひのえね,さたん,水,　, 田かりよし
«1776-2240»,«暦日0»,八〳,ひのとのうし,とる,,　,●
«1776-2250»,«節中»,処暑七月中むまの三刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1776-2260»,«暦日2»,九〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1776-2270»,«暦日0»,十〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1776-2280»,«暦日2»,十一〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1776-2290»,«暦日0»,十二〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1776-2300»,«暦日2»,十三〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1776-2310»,«暦日0»,十四〳,みつのとのひつし,とつ,,　,天おん 母倉
«1776-2320»,«暦日2»,十五〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1776-2330»,«暦日0»,十六〳,きのとのとり,のそく,,　,十し
«1776-2340»,«暦日2»,十七〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1776-2350»,«暦日0»,十八〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1776-2360»,«暦日2»,十九〳,つちのえね,さたん,火,二百十日, けんふく くさかりよし
«1776-2370»,«暦日0»,廿〳,つちのとのうし,とる,,　,●
«1776-2380»,«暦日2»,廿一〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1776-2390»,«暦日0»,廿二〳,かのとのう,あやふ,,　,神よし
«1776-2400»,«暦日1»,廿三〳,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
«1776-2410»,«節中»,白露八月せつとりの初刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1776-2420»,«暦日1»,廿四〳,みつのとのみ,なる,水,天一天上,十し
«1776-2430»,«暦日2»,廿五〳,きのえむま,おさん,金,　,めつもん
«1776-2440»,«暦日0»,廿六〳,きのとのひつし,ひらく,,　,●
«1776-2450»,«暦日2»,廿七〳,ひのえさる,とつ,火,　,神よし
«1776-2460»,«暦日0»,廿八〳,ひのとのとり,たつ,,　,さい下しき 天火 らうしやく 下しきむまの時
«1776-2470»,«暦日2»,廿九〳,つちのえいぬ,のそく,木,二百廿日,母倉 ちいみ  ふねのり 田かりよし
«1776-2480»,«暦日0»,卅〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1776-2490»,«月序»,八月,小,建,丁酉,房宿　鬼　金よう
«1776-2500»,«暦日2»,一〳,かのえね,たいら,土,　,神よし きしく 月とく 大くわ 地火
«1776-2510»,«暦日0»,二〳,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
«1776-2520»,«暦日2»,三〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1776-2530»,«暦日0»,四〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1776-2540»,«暦日2»,五〳,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
«1776-2550»,«暦日0»,六〳,きのとのみ,なる,,　,十し
«1776-2560»,«暦日2»,七〳,ひのえむま,おさん,水,ひかんニなる,大みやう めつもん
«1776-2570»,«暦日0»,八〳,ひのとのひつし,ひらく,,　,●
