《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2430》,《暦日0》,廿五／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《2440》,《暦日2》,廿六／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2450》,《暦日0》,廿七／,みつのとのうし,とる,,二百十日/ま日,●
《2460》,《暦日2》,廿八／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2470》,《暦日0》,廿九／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2480》,《暦日1》,卅／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2490》,《月序》,八月,小,建,丁酉,婁宿　斗　木よう
《2500》,《暦日1》,一／,ひのとのみ,おさん,土,　,月とく 大くわ ちう日  ものたちよし
《2510》,《暦日2》,二／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2520》,《暦日0》,三／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2530》,《暦日1》,四／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2540》,《節中》,白露八月せつ今暁八時二分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2550》,《暦日1》,五／,かのとのとり,たつ,木,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2560》,《暦日2》,六／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2570》,《暦日0》,七／,みつのとのい,みつ,,二百廿日/八せんのおはり,ちう日  いちたちよし
《2580》,《暦日2》,八／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2590》,《暦日0》,九／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2600》,《暦日2》,十／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2610》,《暦日0》,十一／,ひのとのう,やふる,,　,天おん  田かりよし
《2620》,《暦日2》,十二／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《2630》,《暦日0》,十三／,つちのとのみ,なる,,　,十し
《2640》,《暦日2》,十四／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2650》,《暦日0》,十五／,かのとのひつし,ひらく,,　,●
《2660》,《暦日2》,十六／,みつのえさる,とつ,金,ひかんニなる,神よし きしく 大みやう
《2670》,《暦日0》,十七／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2680》,《暦日2》,十八／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2690》,《暦日0》,十九／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2700》,《節中》,秋分八月中朝四時六分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2710》,《暦日2》,廿／,ひのえね,たいら,水,　,大くわ 地火
《2720》,《暦日0》,廿一／,ひのとのうし,さたん,,　,大みやう 母倉 わうまう  ものたち  つめとりよし
《2730》,《暦日2》,廿二／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《2740》,《暦日0》,廿三／,つちのとのう,やふる,,　,大みやう 天おん
《2750》,《暦日2》,廿四／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2760》,《暦日0》,廿五／,かのとのみ,なる,,　,十し
《2770》,《暦日2》,廿六／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2780》,《暦日0》,廿七／,みつのとのひつし,ひらく,,　,●
《2790》,《暦日2》,廿八／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2800》,《暦日0》,廿九／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2810》,《月序》,九月,大,建,戊戌,胃宿　牛　金よう
《2820》,《暦日2》,一／,ひのえいぬ,のそく,土,　,さい下しき 母倉 五む日 ちいみ
《2830》,《暦日0》,二／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2840》,《暦日2》,三／,つちのえね,たいら,火,　,大くわ 地火
《2850》,《暦日0》,四／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2860》,《暦日1》,五／,かのえとら,さたん,木,　,●
《2870》,《節中》,寒露九月せつ夕七時三分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《2880》,《暦日1》,六／,かのとのう,とる,木,　,くゑ日
《2890》,《暦日2》,七／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《2900》,《暦日0》,八／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2910》,《暦日2》,九／,きのえむま,なる,金,　,くゑ日
