«1760-0000»,【 カンマ区切りテキスト形式です。】
«1760-2320»,«暦日0»,十五〳,ひのとのみ,おさん,,　,さい下しき 月とく 大くわ ちう日  ものたちよし
«1760-2330»,«暦日2»,十六〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1760-2340»,«暦日0»,十七〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1760-2350»,«暦日2»,十八〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1760-2360»,«暦日0»,十九〳,かのとのとり,のそく,,　,十し
«1760-2370»,«暦日2»,廿〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1760-2380»,«暦日0»,廿一〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1760-2390»,«暦日2»,廿二〳,きのえね,さたん,金,二百十日,天おん ふく日  ふねのりよし
«1760-2400»,«暦日0»,廿三〳,きのとのうし,とる,,　,●
«1760-2410»,«暦日2»,廿四〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1760-2420»,«暦日0»,廿五〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1760-2430»,«暦日1»,廿六〳,つちのえたつ,あやふ,木,　,きしく 天おん 母倉 五む日  みそすつくりよし
«1760-2440»,«節中»,白露八月せつさるの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1760-2450»,«暦日1»,廿七〳,つちのとのみ,なる,木,　,十し
«1760-2460»,«暦日2»,廿八〳,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
«1760-2470»,«暦日0»,廿九〳,かのとのひつし,ひらく,,　,●
«1760-2480»,«月序»,八月,大,建,乙酉,斗宿　翼　火よう
«1760-2490»,«暦日2»,一〳,みつのえさる,とつ,金,　,神よし 大みやう
«1760-2500»,«暦日0»,二〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1760-2510»,«暦日2»,三〳,きのえいぬ,のそく,火,二百廿日,母倉 ちいみ  竹木こりよし
«1760-2520»,«暦日0»,四〳,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
«1760-2530»,«暦日2»,五〳,ひのえね,たいら,水,　,大くわ 地火
«1760-2540»,«暦日0»,六〳,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
«1760-2550»,«暦日2»,七〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
«1760-2560»,«暦日0»,八〳,つちのとのう,やふる,,　,大みやう 天おん
«1760-2570»,«暦日2»,九〳,かのえたつ,あやふ,金,　,天おん 母倉 月とく
«1760-2580»,«暦日0»,十〳,かのとのみ,なる,,　,十し
«1760-2590»,«暦日2»,十一〳,みつのえむま,おさん,木,ひかんニなる,大みやう 天おん めつもん
«1760-2600»,«暦日0»,十二〳,みつのとのひつし,ひらく,,　,●
«1760-2610»,«節中»,秋分八月中いの四刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1760-2620»,«暦日2»,十三〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1760-2630»,«暦日0»,十四〳,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく わうまう 下しきむまの時
«1760-2640»,«暦日2»,十五〳,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
«1760-2650»,«暦日0»,十六〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1760-2660»,«暦日2»,十七〳,つちのえね,たいら,火,　,大くわ 地火
«1760-2670»,«暦日0»,十八〳,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
«1760-2680»,«暦日2»,十九〳,かのえとら,とる,木,　,月とく きこ  つめとりよし
«1760-2690»,«暦日0»,廿〳,かのとのう,やふる,,　,ふく日  田かりよし
«1760-2700»,«暦日2»,廿一〳,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
«1760-2710»,«暦日0»,廿二〳,みつのとのみ,なる,,天一天上,十し
«1760-2720»,«暦日2»,廿三〳,きのえむま,おさん,金,　,めつもん
«1760-2730»,«暦日0»,廿四〳,きのとのひつし,ひらく,,　,●
«1760-2740»,«暦日2»,廿五〳,ひのえさる,とつ,火,　,神よし きしく
«1760-2750»,«暦日0»,廿六〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
