《1851-0000》,# カンマ区切りテキスト形式です。
《1851-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1851-2620》,《暦日0》,十三／,ひのとのう,やふる,,　,天おん  田かりよし
《1851-2630》,《節中》,白露八月せつ昼八時七分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1851-2640》,《暦日2》,十四／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《1851-2650》,《暦日0》,十五／,つちのとのみ,なる,,　,十し
《1851-2660》,《暦日2》,十六／,かのえむま,おさん,土,二百廿日,月とく めつもん  竹木こりよし
《1851-2670》,《暦日0》,十七／,かのとのひつし,ひらく,,　,●
《1851-2680》,《暦日2》,十八／,みつのえさる,とつ,金,　,神よし 大みやう
《1851-2690》,《暦日0》,十九／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1851-2700》,《暦日2》,廿／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《1851-2710》,《暦日0》,廿一／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《1851-2720》,《暦日2》,廿二／,ひのえね,たいら,水,　,大くわ 地火
《1851-2730》,《暦日0》,廿三／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《1851-2740》,《暦日2》,廿四／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
