《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2250》,《暦日0》,八／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2260》,《節中》,処暑七月中今暁うしの四刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2270》,《暦日2》,九／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2280》,《暦日0》,十／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2290》,《暦日2》,十一／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《2300》,《暦日0》,十二／,かのとのとり,のそく,,　,十し
《2310》,《暦日2》,十三／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2320》,《暦日0》,十四／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2330》,《暦日2》,十五／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2340》,《暦日0》,十六／,きのとのうし,とる,,　,●
《2350》,《暦日2》,十七／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2360》,《暦日0》,十八／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2370》,《暦日2》,十九／,つちのえたつ,なる,木,二百十日,天おん 母倉 五む日 ちいみ  いちたちよし
《2380》,《暦日0》,廿／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2390》,《暦日2》,廿一／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2400》,《暦日0》,廿二／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2410》,《暦日1》,廿三／,みつのえさる,とつ,金,　,神よし 大みやう
《2420》,《節中》,白露八月せつたつの一刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2430》,《暦日1》,廿四／,みつのとのとり,たつ,金,　,大みやう 天火 らうしやく 下しきむまの時
《2440》,《暦日2》,廿五／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2450》,《暦日0》,廿六／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2460》,《暦日2》,廿七／,ひのえね,たいら,水,　,大くわ 地火
《2470》,《暦日0》,廿八／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2480》,《暦日1》,廿九／,つちのえとら,とる,土,二百廿日,きこ  田かり  つめとりよし
《2490》,《月序》,八月,大,建,乙酉,斗宿　昴　日よう
《2500》,《暦日1》,一／,つちのとのう,やふる,土,　,大みやう 天おん
《2510》,《暦日2》,二／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2520》,《暦日0》,三／,かのとのみ,なる,,　,十し
《2530》,《暦日2》,四／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2540》,《暦日0》,五／,みつのとのひつし,ひらく,,　,●
《2550》,《暦日2》,六／,きのえさる,とつ,水,十方くれニ入,神よし きしく 大みやう  竹木こり 田かりよし
《2560》,《暦日0》,七／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2570》,《暦日2》,八／,ひのえいぬ,のそく,土,ひかんニなる,母倉 五む日 ちいみ
《2580》,《暦日0》,九／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2590》,《節中》,秋分八月中むまの六刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2600》,《暦日2》,十／,つちのえね,たいら,火,社日,大くわ 地火
《2610》,《暦日0》,十一／,つちのとのうし,さたん,,　,母倉 わうまう  かまぬり  つめとりよし
《2620》,《暦日2》,十二／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2630》,《暦日0》,十三／,かのとのう,やふる,,　,ふく日  田かりよし
《2640》,《暦日2》,十四／,みつのえたつ,あやふ,水,　,さい下しき 大みやう 母倉 五む日
《2650》,《暦日0》,十五／,みつのとのみ,なる,,天一天上,十し
《2660》,《暦日2》,十六／,きのえむま,おさん,金,　,めつもん
《2670》,《暦日0》,十七／,きのとのひつし,ひらく,,　,●
《2680》,《暦日2》,十八／,ひのえさる,とつ,火,　,神よし
《2690》,《暦日0》,十九／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2700》,《暦日2》,廿／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2710》,《暦日0》,廿一／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2720》,《暦日2》,廿二／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《2730》,《暦日0》,廿三／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2740》,《暦日1》,廿四／,みつのえとら,さたん,金,　,●
《2750》,《節中》,寒露九月せつとりの三刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《2760》,《暦日1》,廿五／,みつのとのう,とる,金,　,神よし  けんふく かといてよし
《2770》,《暦日2》,廿六／,きのえたつ,やふる,火,　,大みやう
《2780》,《暦日0》,廿七／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《2790》,《暦日2》,廿八／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《2800》,《暦日0》,廿九／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《2810》,《暦日1》,卅／,つちのえさる,ひらく,土,　,天しや よろつよし
《2820》,《月序》,九月,大,建,丙戌,牛宿　觜　火よう
《2830》,《暦日1》,一／,つちのとのとり,とつ,土,　,神よし 大みやう 天おん ふく日  たねまきよし
《2840》,《暦日2》,二／,かのえいぬ,たつ,金,　,大みやう くゑ日
《2850》,《暦日0》,三／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《2860》,《暦日2》,四／,みつのえね,みつ,木,八せんのはしめ,神よし きしく 天おん きこ 天火 らうしやく
《2870》,《暦日0》,五／,みつのとのうし,たいら,,ま日,十し
《2880》,《暦日2》,六／,きのえとら,さたん,水,とよういの四刻ニ入,●
《2890》,《暦日0》,七／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
