《1865-0000》,# カンマ区切りテキスト形式です。
《1865-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1865-0020》,# ・表の区画内での改行は“/”で表記します。
《1865-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1865-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1865-0050》,# 外部リンク
《1865-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/105 ～ 114
《1865-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1865g　(GitHub上データを表成型)
《1865-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1865h　(翻刻編集データを表成型 - 未実装)
《1865-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1865-0100》,《版元》,出版地○○,出版元□□□,　
《1865-2210》,《暦日2》,五／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1865-2220》,《暦日0》,六／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1865-2230》,《暦日2》,七／,かのえね,とる,土,中伏,きこ 下しきたつの時
《1865-2240》,《暦日0》,八／,かのとのうし,やふる,,　,十し
《1865-2250》,《暦日2》,九／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1865-2260》,《暦日0》,十／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1865-2270》,《暦日2》,十一／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1865-2280》,《暦日0》,十二／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1865-2290》,《暦日2》,十三／,ひのえむま,とつ,水,　,●
《1865-2300》,《暦日0》,十四／,ひのとのひつし,たつ,,　,くゑ日
《1865-2310》,《暦日2》,十五／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1865-2320》,《暦日0》,十六／,つちのとのとり,のそく,,　,十し
《1865-2330》,《節中》,立秋七月せつ夜四時三分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1865-2340》,《暦日2》,十七／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《1865-2350》,《暦日0》,十八／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
