《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2750》,《暦日2》,廿三／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2760》,《暦日0》,廿四／,かのとのう,やふる,,　,ふく日  田かりよし
《2770》,《暦日2》,廿五／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《2780》,《暦日0》,廿六／,みつのとのみ,なる,,天一天上,十し
《2790》,《暦日2》,廿七／,きのえむま,おさん,金,　,めつもん
《2800》,《暦日0》,廿八／,きのとのひつし,ひらく,,ひかんニなる,●
《2810》,《暦日1》,廿九／,ひのえさる,とつ,火,　,神よし
《2820》,《月序》,八月,大,建,癸酉,婁宿　婁　金よう
《2830》,《暦日1》,一／,ひのとのとり,たつ,火,　,天火 らうしやく 下しきむまの時
《2840》,《暦日1》,二／,つちのえいぬ,のそく,木,社日,母倉 ちいみ  ふねのり 田かりよし
《2850》,《節中》,秋分八月中夕七時九分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2860》,《暦日1》,三／,つちのとのい,みつ,木,　,神よし ちう日  いちたちよし
《2870》,《暦日2》,四／,かのえね,たいら,土,　,月とく 大くわ 地火 わうまう
《2880》,《暦日0》,五／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2890》,《暦日2》,六／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2900》,《暦日0》,七／,みつのとのう,やふる,,　, くらたて 田かりよし
《2910》,《暦日2》,八／,きのえたつ,あやふ,火,　,きしく 大みやう 母倉  けんふく わたましよし
《2920》,《暦日0》,九／,きのとのみ,なる,,　,十し
