《1734-0000》,# カンマ区切りテキスト形式です。
《1734-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1734-0020》,# ・表の区画内での改行は“/”で表記します。
《1734-2040》,《暦日2》,廿／,きのえね,とる,金,　,きこ 下しきたつの時
《1734-2050》,《暦日0》,廿一／,きのとのうし,やふる,,　,十し
《1734-2060》,《暦日1》,廿二／,ひのえとら,あやふ,火,　, わたまし  つめとりよし
《1734-2070》,《節中》,大暑六月中いぬの三刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1734-2080》,《暦日1》,廿三／,ひのとのう,なる,火,　,さい下しき 神よし 天火 らうしやく
《1734-2090》,《暦日2》,廿四／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《1734-2100》,《暦日0》,廿五／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1734-2110》,《暦日2》,廿六／,かのえむま,とつ,土,中伏,●
《1734-2120》,《暦日0》,廿七／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1734-2130》,《暦日2》,廿八／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1734-2140》,《暦日0》,廿九／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1734-2150》,《月序》,七月,大,建,壬申,氐宿　牛　金よう
《1734-2160》,《暦日2》,一／,きのえいぬ,たいら,火,　,大くわ 地火 わうまう  わたましよし
《1734-2170》,《暦日0》,二／,きのとのい,さたん,,　,ちう日
《1734-2180》,《暦日2》,三／,ひのえね,とる,水,　,きこ 下しきたつの時
《1734-2190》,《暦日0》,四／,ひのとのうし,やふる,,　,十し
《1734-2200》,《暦日2》,五／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1734-2210》,《暦日0》,六／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1734-2220》,《暦日2》,七／,かのえたつ,おさん,金,　,めつもん  けんふくよし
《1734-2230》,《暦日0》,八／,かのとのみ,ひらく,,　,ちう日  ものたちよし
