《1727-0000》,# カンマ区切りテキスト形式です。
《1727-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1727-2570》,《暦日2》,廿二／,ひのえね,たいら,水,　,大くわ 地火
《1727-2580》,《暦日0》,廿三／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1727-2590》,《暦日2》,廿四／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1727-2600》,《暦日0》,廿五／,つちのとのう,やふる,,　,大みやう
《1727-2610》,《暦日2》,廿六／,かのえたつ,あやふ,金,　
《1727-2620》,《暦日0》,廿七／,かのとのみ,なる,,二百廿日,十し
《1727-2630》,《暦日2》,廿八／,みつのえむま,おさん,木,　,大みやう めつもん
《1727-2640》,《暦日0》,廿九／,みつのとのひつし,ひらく,,　,●
《1727-2650》,《月序》,八月,大,建,己酉,房宿　畢　月よう
《1727-2660》,《暦日2》,一／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1727-2670》,《暦日0》,二／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《1727-2680》,《暦日2》,三／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1727-2690》,《暦日0》,四／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1727-2700》,《暦日2》,五／,つちのえね,たいら,火,社日,きしく 大くわ 地火
《1727-2710》,《暦日0》,六／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《1727-2720》,《暦日2》,七／,かのえとら,とる,木,　,きこ  つめとりよし
《1727-2730》,《暦日0》,八／,かのとのう,やふる,,秋分八月中ねの五刻,ふく日  田かりよし
《1727-2740》,《暦日2》,九／,みつのえたつ,あやふ,水,　,大みやう 五む日 わうまう
《1727-2750》,《暦日0》,十／,みつのとのみ,なる,,天一天上/ひかんニなる,十し
《1727-2760》,《暦日2》,十一／,きのえむま,おさん,金,　,めつもん
《1727-2770》,《暦日0》,十二／,きのとのひつし,ひらく,,　,●
《1727-2780》,《暦日2》,十三／,ひのえさる,とつ,火,　,神よし
《1727-2790》,《暦日0》,十四／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1727-2800》,《暦日2》,十五／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1727-2810》,《暦日0》,十六／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1727-2820》,《暦日2》,十七／,かのえね,たいら,土,　,神よし 大くわ 地火
《1727-2830》,《暦日0》,十八／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1727-2840》,《暦日2》,十九／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1727-2850》,《暦日0》,廿／,みつのとのう,やふる,,　, くらたて 田かりよし
《1727-2860》,《暦日2》,廿一／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《1727-2870》,《暦日0》,廿二／,きのとのみ,なる,,　,十し
《1727-2880》,《暦日2》,廿三／,ひのえむま,なる,水,かん露九月せつうの二刻ニ入,神よし 大みやう  いちたちよし
《1727-2890》,《暦日0》,廿四／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
