《1826-0000》,# カンマ区切りテキスト形式です。
《1826-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1826-0020》,# ・表の区画内での改行は“/”で表記します。
《1826-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1826-2090》,《暦日0》,廿三／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1826-2100》,《暦日2》,廿四／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1826-2110》,《暦日0》,廿五／,きのとのい,さたん,,　,ちう日
《1826-2120》,《暦日2》,廿六／,ひのえね,とる,水,　,きこ わうまう 下しきたつの時
《1826-2130》,《暦日0》,廿七／,ひのとのうし,やふる,,　,十し
《1826-2140》,《暦日2》,廿八／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1826-2150》,《暦日0》,廿九／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1826-2160》,《暦日1》,卅／,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
《1826-2170》,《月序》,七月,小,建,丙申,奎宿　婁　金よう
《1826-2180》,《暦日1》,一／,かのとのみ,ひらく,金,　,天おん 母倉 ちう日  ものたちよし
《1826-2190》,《暦日2》,二／,みつのえむま,とつ,木,　,●
《1826-2200》,《暦日0》,三／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1826-2210》,《暦日1》,四／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1826-2220》,《節中》,立秋七月せつみの四刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1826-2230》,《暦日1》,五／,きのとのとり,のそく,水,　,十し
《1826-2240》,《暦日2》,六／,ひのえいぬ,みつ,土,　,母倉 五む日
《1826-2250》,《暦日0》,七／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1826-2260》,《暦日2》,八／,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
《1826-2270》,《暦日0》,九／,つちのとのうし,とる,,　,●
《1826-2280》,《暦日2》,十／,かのえとら,やふる,木,末伏,ふく日  つめとりよし
《1826-2290》,《暦日0》,十一／,かのとのう,あやふ,,　,神よし
《1826-2300》,《暦日2》,十二／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ わうまう
《1826-2310》,《暦日0》,十三／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1826-2320》,《暦日2》,十四／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1826-2330》,《暦日0》,十五／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1826-2340》,《暦日2》,十六／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1826-2350》,《暦日0》,十七／,ひのとのとり,のそく,,　,十し
《1826-2360》,《暦日2》,十八／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1826-2370》,《暦日0》,十九／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1826-2380》,《節中》,処暑七月中さるの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1826-2390》,《暦日2》,廿／,かのえね,さたん,土,　,神よし ふく日
《1826-2400》,《暦日0》,廿一／,かのとのうし,とる,,　,●
