«1794-0000»,【 カンマ区切りテキスト形式です。】
«1794-2330»,«暦日2»,十五〳,かのえね,さたん,土,末伏,神よし ふく日
«1794-2340»,«暦日0»,十六〳,かのとのうし,とる,,　,●
«1794-2350»,«暦日2»,十七〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1794-2360»,«暦日0»,十八〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1794-2370»,«暦日2»,十九〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日 わうまう
«1794-2380»,«暦日0»,廿〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1794-2390»,«暦日2»,廿一〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1794-2400»,«暦日0»,廿二〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1794-2410»,«暦日2»,廿三〳,つちのえさる,たつ,土,　,天しや よろつよし
«1794-2420»,«暦日0»,廿四〳,つちのとのとり,のそく,,　,十し
«1794-2430»,«暦日2»,廿五〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1794-2440»,«暦日0»,廿六〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1794-2450»,«節中»,処暑七月中いぬの五刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1794-2460»,«暦日2»,廿七〳,みつのえね,さたん,木,八せんのはしめ,神よし きしく 天おん 月とく  くらたてよし
«1794-2470»,«暦日0»,廿八〳,みつのとのうし,とる,,ま日,●
«1794-2480»,«暦日1»,廿九〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1794-2490»,«月序»,八月,大,建,癸酉,柳宿　張　月よう
«1794-2500»,«暦日1»,一〳,きのとのう,あやふ,水,　,神よし  くらたて かまぬりよし
«1794-2510»,«暦日2»,二〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1794-2520»,«暦日0»,三〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1794-2530»,«暦日2»,四〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1794-2540»,«暦日0»,五〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1794-2550»,«暦日2»,六〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1794-2560»,«暦日0»,七〳,かのとのとり,のそく,,　,十し
«1794-2570»,«暦日2»,八〳,みつのえいぬ,みつ,水,二百十日|ま日,母倉 月とく
«1794-2580»,«暦日0»,九〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1794-2590»,«暦日2»,十〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1794-2600»,«暦日0»,十一〳,きのとのうし,とる,,　,●
«1794-2610»,«暦日2»,十二〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1794-2620»,«暦日0»,十三〳,ひのとのう,やふる,,　,さい下しき 天おん  田かりよし
«1794-2630»,«節中»,白露八月せつ今暁うしの二刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1794-2640»,«暦日2»,十四〳,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
«1794-2650»,«暦日0»,十五〳,つちのとのみ,なる,,　,十し
«1794-2660»,«暦日2»,十六〳,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
«1794-2670»,«暦日0»,十七〳,かのとのひつし,ひらく,,　,●
«1794-2680»,«暦日2»,十八〳,みつのえさる,とつ,金,二百廿日,神よし 大みやう
«1794-2690»,«暦日0»,十九〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1794-2700»,«暦日2»,廿〳,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
«1794-2710»,«暦日0»,廿一〳,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
«1794-2720»,«暦日2»,廿二〳,ひのえね,たいら,水,　,大くわ 地火
«1794-2730»,«暦日0»,廿三〳,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
«1794-2740»,«暦日2»,廿四〳,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
