《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2460》,《暦日0》,廿七／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2470》,《暦日2》,廿八／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2480》,《暦日0》,廿九／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2490》,《月序》,八月,大,建,乙酉,柳宿　鬼　金よう
《2500》,《暦日2》,一／,かのえさる,たつ,木,　,きしく 大みやう くゑ日 ふく日 下しきみの時
《2510》,《暦日0》,二／,かのとのとり,のそく,,　,十し
《2520》,《暦日1》,三／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2530》,《節中》,白露八月せつ朝四時二分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2540》,《暦日1》,四／,みつのとのい,みつ,水,八せんのおはり,ちう日  いちたちよし
《2550》,《暦日2》,五／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2560》,《暦日0》,六／,きのとのうし,さたん,,二百廿日,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2570》,《暦日2》,七／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2580》,《暦日0》,八／,ひのとのう,やふる,,　,天おん  田かりよし
《2590》,《暦日2》,九／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《2600》,《暦日0》,十／,つちのとのみ,なる,,　,十し
《2610》,《暦日2》,十一／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2620》,《暦日0》,十二／,かのとのひつし,ひらく,,　,●
《2630》,《暦日2》,十三／,みつのえさる,とつ,金,　,神よし 大みやう
《2640》,《暦日0》,十四／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2650》,《暦日2》,十五／,きのえいぬ,のそく,火,ひかんニなる,母倉 ちいみ  竹木こりよし
《2660》,《暦日0》,十六／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2670》,《暦日2》,十七／,ひのえね,たいら,水,　,大くわ 地火
《2680》,《暦日0》,十八／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2690》,《節中》,秋分八月中暮六時三分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2700》,《暦日2》,十九／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《2710》,《暦日0》,廿／,つちのとのう,やふる,,　,大みやう 天おん わうまう
《2720》,《暦日2》,廿一／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2730》,《暦日0》,廿二／,かのとのみ,なる,,　,十し
《2740》,《暦日2》,廿三／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2750》,《暦日0》,廿四／,みつのとのひつし,ひらく,,　,●
《2760》,《暦日2》,廿五／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2770》,《暦日0》,廿六／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2780》,《暦日2》,廿七／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2790》,《暦日0》,廿八／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2800》,《暦日2》,廿九／,つちのえね,たいら,火,　,きしく 大くわ 地火
《2810》,《暦日0》,卅／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2820》,《月序》,九月,小,建,丙戌,星宿　星　日よう
《2830》,《暦日2》,一／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2840》,《暦日0》,二／,かのとのう,やふる,,　,ふく日  田かりよし
《2850》,《暦日2》,三／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《2860》,《暦日0》,四／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2870》,《節中》,寒露九月せつ今暁九時五分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《2880》,《暦日2》,五／,きのえむま,なる,金,　,くゑ日
《2890》,《暦日0》,六／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《2900》,《暦日2》,七／,ひのえさる,ひらく,火,　,くゑ日
《2910》,《暦日0》,八／,ひのとのとり,とつ,,　,くゑ日
《2920》,《暦日2》,九／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
