«1696-0000»,【 カンマ区切りテキスト形式です。】
«1696-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1696-2180»,«暦日2»,十四〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1696-2190»,«暦日0»,十五〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1696-2200»,«暦日2»,十六〳,かのえむま,ひらく,土,末伏,ふく日 天火 らうしやく わうまう
«1696-2210»,«暦日0»,十七〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1696-2220»,«暦日2»,十八〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1696-2230»,«暦日0»,十九〳,みつのとのとり,のそく,,　,十し
«1696-2240»,«暦日2»,廿〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1696-2250»,«暦日0»,廿一〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1696-2260»,«暦日2»,廿二〳,ひのえね,さたん,水,　, 田かりよし
«1696-2270»,«暦日0»,廿三〳,ひのとのうし,とる,,　,●
«1696-2280»,«暦日2»,廿四〳,つちのえとら,やふる,土,七月中うしの四刻, たねまき  つめとりよし
«1696-2290»,«暦日0»,廿五〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1696-2300»,«暦日2»,廿六〳,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
«1696-2310»,«暦日0»,廿七〳,かのとのみ,おさん,,　,大くわ ちう日
«1696-2320»,«暦日2»,廿八〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1696-2330»,«暦日0»,廿九〳,みつのとのひつし,とつ,,　
«1696-2340»,«暦日1»,卅〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1696-2350»,«月序»,八月,小,建,丁酉,柳宿　觜　火よう
«1696-2360»,«暦日1»,一〳,きのとのとり,のそく,水,　,十し
«1696-2370»,«暦日2»,二〳,ひのえいぬ,みつ,土,　,五む日
«1696-2380»,«暦日0»,三〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1696-2390»,«暦日2»,四〳,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
«1696-2400»,«暦日0»,五〳,つちのとのうし,とる,,二百十日,●
«1696-2410»,«暦日2»,六〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1696-2420»,«暦日0»,七〳,かのとのう,あやふ,,　,神よし
«1696-2430»,«暦日2»,八〳,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
«1696-2440»,«暦日0»,九〳,みつのとのみ,なる,,八月せつたつの一刻ニ入|天一天上,十し
«1696-2450»,«暦日2»,十〳,きのえむま,おさん,金,　,めつもん
«1696-2460»,«暦日0»,十一〳,きのとのひつし,ひらく,,　,●
«1696-2470»,«暦日2»,十二〳,ひのえさる,とつ,火,　,神よし
«1696-2480»,«暦日0»,十三〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1696-2490»,«暦日2»,十四〳,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
«1696-2500»,«暦日0»,十五〳,つちのとのい,みつ,,二百廿日,神よし ちう日  いちたちよし
«1696-2510»,«暦日2»,十六〳,かのえね,たいら,土,　,神よし 大くわ 地火
«1696-2520»,«暦日0»,十七〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1696-2530»,«暦日2»,十八〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1696-2540»,«暦日0»,十九〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1696-2550»,«暦日2»,廿〳,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
«1696-2560»,«暦日0»,廿一〳,きのとのみ,なる,,　,十し
«1696-2570»,«暦日2»,廿二〳,ひのえむま,おさん,水,　,大みやう めつもん
