《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2610》,《暦日2》,十二／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2620》,《暦日0》,十三／,きのとのうし,とる,,　,●
《2630》,《暦日2》,十四／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2640》,《暦日0》,十五／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2650》,《暦日2》,十六／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2660》,《暦日0》,十七／,つちのとのみ,おさん,,二百十日,神よし 大くわ ちう日
《2670》,《暦日2》,十八／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2680》,《暦日0》,十九／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2690》,《暦日2》,廿／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2700》,《暦日0》,廿一／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2710》,《節中》,白露八月せつむまの三刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《2720》,《暦日2》,廿二／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2730》,《暦日0》,廿三／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2740》,《暦日2》,廿四／,ひのえね,たいら,水,　,大くわ 地火
《2750》,《暦日0》,廿五／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2760》,《暦日2》,廿六／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《2770》,《暦日0》,廿七／,つちのとのう,やふる,,二百廿日,大みやう 天おん
《2780》,《暦日2》,廿八／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2790》,《暦日0》,廿九／,かのとのみ,なる,,　,十し
《2800》,《月序》,八月,大,建,丁酉,軫宿　參　水よう
《2810》,《暦日2》,一／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2820》,《暦日0》,二／,みつのとのひつし,ひらく,,　,●
《2830》,《暦日2》,三／,きのえさる,とつ,水,十方くれニ入,神よし きしく 大みやう  竹木こり 田かりよし
