《1718-0000》,# カンマ区切りテキスト形式です。
《1718-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1718-2380》,《暦日2》,二／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1718-2390》,《暦日0》,三／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1718-2400》,《暦日2》,四／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《1718-2410》,《暦日0》,五／,かのとのみ,おさん,,　,大くわ ちう日
《1718-2420》,《暦日2》,六／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1718-2430》,《暦日0》,七／,みつのとのひつし,とつ,,　
《1718-2440》,《暦日2》,八／,きのえさる,たつ,水,二百十日/十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
《1718-2450》,《暦日0》,九／,きのとのとり,のそく,,　,十し
《1718-2460》,《暦日2》,十／,ひのえいぬ,みつ,土,　,五む日
《1718-2470》,《暦日0》,十一／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1718-2480》,《暦日2》,十二／,つちのえね,たいら,火,八月せつひつしの七刻ニ入,大くわ 地火
《1718-2490》,《暦日0》,十三／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《1718-2500》,《暦日2》,十四／,かのえとら,とる,木,　,きこ  つめとりよし
《1718-2510》,《暦日0》,十五／,かのとのう,やふる,,　,ふく日
《1718-2520》,《食記》,月帯そく皆つくる
《1718-2530》,《暦日2》,十六／,みつのえたつ,あやふ,水,　,大みやう 五む日
《1718-2540》,《暦日0》,十七／,みつのとのみ,なる,,天一天上,十し
《1718-2550》,《暦日2》,十八／,きのえむま,おさん,金,二百廿日,めつもん
《1718-2560》,《暦日0》,十九／,きのとのひつし,ひらく,,　,●
《1718-2570》,《暦日2》,廿／,ひのえさる,とつ,火,　,神よし
《1718-2580》,《暦日0》,廿一／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1718-2590》,《暦日2》,廿二／,つちのえいぬ,のそく,木,社日,ちいみ  ふねのり 田かりよし
《1718-2600》,《暦日0》,廿三／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1718-2610》,《暦日2》,廿四／,かのえね,たいら,土,　,神よし 大くわ 地火
《1718-2620》,《暦日0》,廿五／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1718-2630》,《暦日2》,廿六／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1718-2640》,《暦日0》,廿七／,みつのとのう,やふる,,秋分八月中いぬの四刻, くらたて 田かりよし
《1718-2650》,《暦日2》,廿八／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《1718-2660》,《暦日0》,廿九／,きのとのみ,なる,,ひかんニなる,十し
《1718-2670》,《月序》,九月,大,建,壬戌,牛宿　胃　土よう
《1718-2680》,《暦日2》,一／,ひのえむま,おさん,水,　,大みやう めつもん
《1718-2690》,《暦日0》,二／,ひのとのひつし,ひらく,,　,●
《1718-2700》,《暦日2》,三／,つちのえさる,とつ,土,　,天しや よろつよし
《1718-2710》,《暦日0》,四／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1718-2720》,《暦日2》,五／,かのえいぬ,のそく,金,　,大みやう ちいみ
《1718-2730》,《暦日0》,六／,かのとのい,みつ,,　,さい下しき 神よし 大みやう ちう日 ふく日
《1718-2740》,《暦日2》,七／,みつのえね,たいら,木,八せんのはしめ,神よし きしく 大くわ 地火
《1718-2750》,《暦日0》,八／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1718-2760》,《暦日2》,九／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1718-2770》,《暦日0》,十／,きのとのう,やふる,,　,くゑ日 ふく日
《1718-2780》,《暦日2》,十一／,ひのえたつ,あやふ,土,ま日,大みやう
《1718-2790》,《暦日0》,十二／,ひのとのみ,なる,,　,十し
《1718-2800》,《暦日2》,十三／,つちのえむま,おさん,火,ま日,めつもん
《1718-2810》,《暦日0》,十四／,つちのとのひつし,おさん,,かん露九月せつうしの一刻ニ入,神よし 大みやう 大くわ ふく日  かといてよし
《1718-2820》,《暦日2》,十五／,かのえさる,ひらく,木,　,大みやう
《1718-2830》,《暦日0》,十六／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《1718-2840》,《暦日2》,十七／,みつのえいぬ,たつ,水,ま日, 田かりよし
《1718-2850》,《暦日0》,十八／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《1718-2860》,《暦日2》,十九／,きのえね,みつ,金,　,きこ 天火 らうしやく
《1718-2870》,《暦日0》,廿／,きのとのうし,たいら,,　,十し
《1718-2880》,《暦日2》,廿一／,ひのえとら,さたん,火,　,●
《1718-2890》,《暦日0》,廿二／,ひのとのう,とる,,　,神よし  田かりよし
《1718-2900》,《暦日2》,廿三／,つちのえたつ,やふる,木,　,五む日 ふく日
《1718-2910》,《暦日0》,廿四／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
