《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2630》,《節中》,秋分八月中今暁九時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2640》,《暦日1》,十五／,きのとのみ,なる,火,　,十し
《2650》,《暦日2》,十六／,ひのえむま,おさん,水,　,大みやう めつもん
《2660》,《暦日0》,十七／,ひのとのひつし,ひらく,,　,●
《2670》,《暦日2》,十八／,つちのえさる,とつ,土,社日,天しや よろつよし
《2680》,《暦日0》,十九／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2690》,《暦日2》,廿／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2700》,《暦日0》,廿一／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2710》,《暦日2》,廿二／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2720》,《暦日0》,廿三／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2730》,《暦日2》,廿四／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2740》,《暦日0》,廿五／,きのとのう,やふる,,　,くゑ日 ふく日
《2750》,《暦日2》,廿六／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2760》,《暦日0》,廿七／,ひのとのみ,なる,,　,十し
《2770》,《暦日2》,廿八／,つちのえむま,おさん,火,ま日,めつもん
《2780》,《暦日0》,廿九／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《2790》,《節中》,寒露九月せつ明六時二分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《2800》,《暦日1》,卅／,かのえさる,ひらく,木,　,大みやう
《2810》,《月序》,九月,大,建,丙戌,角宿　斗　木よう
《2820》,《暦日1》,一／,かのとのとり,とつ,木,　,神よし 大みやう 月とく  いちたちよし
《2830》,《暦日2》,二／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
