«1745-0000»,【 カンマ区切りテキスト形式です。】
«1745-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1745-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1745-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1745-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1745-0050»,【 外部リンク　】
«1745-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/214 ～ 219】
«1745-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1745h　(翻刻編集終了データを表成型して表示します)】
«1745-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1745ht (翻刻編集中データを表成型して表示します)】
«1745-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1745-0100»,«版元»,出版地○○,出版元□□□,　
«1745-1770»,«節中»,夏至五月中翌うしの初刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1745-1780»,«暦日2»,廿三〳,きのえむま,たつ,金,　,天しや よろつよし
«1745-1790»,«暦日0»,廿四〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1745-1800»,«暦日2»,廿五〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1745-1810»,«暦日0»,廿六〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1745-1820»,«暦日2»,廿七〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1745-1830»,«暦日0»,廿八〳,つちのとのい,とる,,　,神よし ちう日
«1745-1840»,«暦日2»,廿九〳,かのえね,やふる,土,　,●
«1745-1850»,«暦日0»,卅〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1745-1860»,«月序»,六月,小,建,癸未,井宿　參　水よう
«1745-1870»,«暦日2»,一〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1745-1880»,«暦日0»,二〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1745-1890»,«暦日2»,三〳,きのえたつ,ひらく,火,はんけしやう,きしく 大みやう  むきかり 田うへよし
«1745-1900»,«暦日0»,四〳,きのとのみ,とつ,,　,十し
«1745-1910»,«暦日2»,五〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1745-1920»,«暦日0»,六〳,ひのとのひつし,のそく,,　,神よし ふく日
«1745-1930»,«暦日2»,七〳,つちのえさる,みつ,土,　,神よし  入学よし
«1745-1940»,«暦日0»,八〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1745-1950»,«節中»,小暑六月せつ翌うの六刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1745-1960»,«暦日2»,九〳,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
«1745-1970»,«暦日0»,十〳,かのとのい,さたん,,　,大みやう ちう日
«1745-1980»,«暦日2»,十一〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1745-1990»,«暦日0»,十二〳,みつのとのうし,やふる,,ま日,十し
«1745-2000»,«暦日2»,十三〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1745-2010»,«暦日0»,十四〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1745-2020»,«暦日2»,十五〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1745-2030»,«暦日0»,十六〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1745-2040»,«暦日2»,十七〳,つちのえむま,とつ,火,ま日,●
«1745-2050»,«暦日0»,十八〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1745-2060»,«暦日2»,十九〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1745-2070»,«暦日0»,廿〳,かのとのとり,みつ,,とようみの六刻ニ入,神よし 大みやう ちいみ  ものたち 井ほりよし
«1745-2080»,«暦日2»,廿一〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1745-2090»,«暦日0»,廿二〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1745-2100»,«暦日1»,廿三〳,きのえね,とる,金,　,きこ 下しきたつの時
«1745-2110»,«節中»,大暑六月中むまの二刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1745-2120»,«暦日1»,廿四〳,きのとのうし,やふる,金,　,十し
«1745-2130»,«暦日2»,廿五〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1745-2140»,«暦日0»,廿六〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1745-2150»,«暦日2»,廿七〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
