«1777-0000»,【 カンマ区切りテキスト形式です。】
«1777-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1777-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1777-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1777-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1777-0050»,【 外部リンク　】
«1777-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/155 ～ 159】
«1777-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1777h　(翻刻編集終了データを表成型して表示します)】
«1777-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1777ht (翻刻編集中データを表成型して表示します)】
«1777-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1777-0100»,«版元»,出版地○○,出版元□□□,　
«1777-1990»,«暦日1»,十六〳,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
«1777-2000»,«食記»,月そく三分,　
«1777-2010»,«暦日1»,十七〳,かのとのい,さたん,金,　,大みやう 天おん ちう日
«1777-2020»,«暦日1»,十八〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1777-2030»,«節中»,大暑六月中たつの初刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1777-2040»,«暦日1»,十九〳,みつのとのうし,やふる,木,ま日,十し
«1777-2050»,«暦日2»,廿〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1777-2060»,«暦日0»,廿一〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1777-2070»,«暦日2»,廿二〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1777-2080»,«暦日0»,廿三〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1777-2090»,«暦日2»,廿四〳,つちのえむま,とつ,火,ま日,●
«1777-2100»,«暦日0»,廿五〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1777-2110»,«暦日2»,廿六〳,かのえさる,のそく,木,中伏,大みやう わうまう  くさかりよし
«1777-2120»,«暦日0»,廿七〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1777-2130»,«暦日2»,廿八〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1777-2140»,«暦日0»,廿九〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1777-2150»,«月序»,七月,大,建,戊申,奎宿　虛　日よう
«1777-2160»,«暦日2»,一〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1777-2170»,«暦日0»,二〳,きのとのうし,やふる,,　,十し
«1777-2180»,«暦日2»,三〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1777-2190»,«暦日0»,四〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1777-2200»,«節中»,立秋七月せつむまの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1777-2210»,«暦日2»,五〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1777-2220»,«暦日0»,六〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1777-2230»,«暦日2»,七〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1777-2240»,«暦日0»,八〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1777-2250»,«暦日2»,九〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1777-2260»,«暦日0»,十〳,みつのとのとり,のそく,,　,十し
«1777-2270»,«暦日2»,十一〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1777-2280»,«暦日0»,十二〳,きのとのい,たいら,,　,ちう日 めつもん 地火 わうまう
«1777-2290»,«暦日2»,十三〳,ひのえね,さたん,水,　,きしく  田かりよし
«1777-2300»,«暦日0»,十四〳,ひのとのうし,とる,,　,●
«1777-2310»,«暦日2»,十五〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
