《1787-0000》,# カンマ区切りテキスト形式です。
《1787-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1787-0020》,# ・表の区画内での改行は“/”で表記します。
《1787-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1787-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1787-0050》,# 外部リンク
《1787-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/202 ～ 206
《1787-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1787g　(GitHub上データを表成型)
《1787-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1787h　(翻刻編集データを表成型 - 未実装)
《1787-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1787-0100》,《版元》,出版地○○,出版元□□□,　
《1787-1590》,《節中》,夏至五月中うの七刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1787-1600》,《暦日1》,八／,きのとのい,とる,火,　,ちう日  むきかり 田うへよし
《1787-1610》,《暦日2》,九／,ひのえね,やふる,水,　,●
《1787-1620》,《暦日0》,十／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1787-1630》,《暦日2》,十一／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1787-1640》,《暦日0》,十二／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1787-1650》,《暦日2》,十三／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1787-1660》,《暦日0》,十四／,かのとのみ,とつ,,　,十し
《1787-1670》,《暦日1》,十五／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1787-1680》,《食記》,月そく皆既
《1787-1690》,《暦日1》,十六／,みつのとのひつし,のそく,木,　,天おん ふく日  田うへよし
《1787-1700》,《暦日2》,十七／,きのえさる,みつ,水,はんけしやう/十方くれニ入,神よし 大みやう
《1787-1710》,《暦日0》,十八／,きのとのとり,たいら,,　,神よし めつもん 地火
《1787-1720》,《暦日2》,十九／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1787-1730》,《暦日0》,廿／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1787-1740》,《暦日2》,廿一／,つちのえね,やふる,火,　,●
