《1719-0000》,# カンマ区切りテキスト形式です。
《1719-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1719-0020》,# ・表の区画内での改行は“/”で表記します。
《1719-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1719-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1719-0050》,# 外部リンク
《1719-2180》,《暦日2》,十一／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1719-2190》,《暦日0》,十二／,みつのとのひつし,とつ,,　
《1719-2200》,《暦日2》,十三／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1719-2210》,《暦日0》,十四／,きのとのとり,のそく,,　,十し
《1719-2220》,《食記》,月帯蝕五分
《1719-2230》,《暦日2》,十五／,ひのえいぬ,みつ,土,　,五む日
《1719-2240》,《暦日0》,十六／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1719-2250》,《暦日2》,十七／,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
《1719-2260》,《暦日0》,十八／,つちのとのうし,とる,,二百十日,●
《1719-2270》,《暦日2》,十九／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1719-2280》,《暦日0》,廿／,かのとのう,あやふ,,　,神よし
《1719-2290》,《暦日2》,廿一／,みつのえたつ,なる,水,　,大みやう 五む日 ちいみ
《1719-2300》,《暦日0》,廿二／,みつのとのみ,なる,,八月せついぬの六刻ニ入/天一天上,十し
《1719-2310》,《暦日2》,廿三／,きのえむま,おさん,金,　,めつもん
《1719-2320》,《暦日0》,廿四／,きのとのひつし,ひらく,,　,●
《1719-2330》,《暦日2》,廿五／,ひのえさる,とつ,火,　,神よし
《1719-2340》,《暦日0》,廿六／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1719-2350》,《暦日2》,廿七／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1719-2360》,《暦日0》,廿八／,つちのとのい,みつ,,二百廿日,神よし ちう日  いちたちよし
《1719-2370》,《暦日1》,廿九／,かのえね,たいら,土,　,さい下しき 神よし 大くわ 地火
《1719-2380》,《月序》,八月,小,建,癸酉,觜宿　斗　木よう
《1719-2390》,《暦日1》,一／,かのとのうし,さたん,土,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1719-2400》,《暦日2》,二／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1719-2410》,《暦日0》,三／,みつのとのう,やふる,,　, くらたて 田かりよし
《1719-2420》,《暦日2》,四／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《1719-2430》,《暦日0》,五／,きのとのみ,なる,,　,十し
《1719-2440》,《暦日2》,六／,ひのえむま,おさん,水,　,大みやう めつもん
《1719-2450》,《暦日0》,七／,ひのとのひつし,ひらく,,　,●
《1719-2460》,《暦日2》,八／,つちのえさる,とつ,土,社日,天しや よろつよし
《1719-2470》,《暦日0》,九／,つちのとのとり,たつ,,秋分八月中うしの三刻,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1719-2480》,《暦日2》,十／,かのえいぬ,のそく,金,　,大みやう ちいみ わうまう
《1719-2490》,《暦日0》,十一／,かのとのい,みつ,,ひかんニなる,神よし 大みやう ちう日 ふく日
《1719-2500》,《暦日2》,十二／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《1719-2510》,《暦日0》,十三／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1719-2520》,《暦日2》,十四／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1719-2530》,《暦日0》,十五／,きのとのう,やふる,,　,くゑ日 ふく日
《1719-2540》,《暦日2》,十六／,ひのえたつ,あやふ,土,ま日,きしく 大みやう
《1719-2550》,《暦日0》,十七／,ひのとのみ,なる,,　,十し
《1719-2560》,《暦日2》,十八／,つちのえむま,おさん,火,ま日,めつもん
《1719-2570》,《暦日0》,十九／,つちのとのひつし,ひらく,,　,●
《1719-2580》,《暦日2》,廿／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《1719-2590》,《暦日0》,廿一／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1719-2600》,《暦日2》,廿二／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1719-2610》,《暦日0》,廿三／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1719-2620》,《暦日2》,廿四／,きのえね,みつ,金,かん露九月せつたつの初刻ニ入,きこ 天火 らうしやく
《1719-2630》,《暦日0》,廿五／,きのとのうし,たいら,,　,十し
《1719-2640》,《暦日2》,廿六／,ひのえとら,さたん,火,　,●
《1719-2650》,《暦日0》,廿七／,ひのとのう,とる,,　,神よし  田かりよし
《1719-2660》,《暦日2》,廿八／,つちのえたつ,やふる,木,　,五む日 ふく日
《1719-2670》,《暦日0》,廿九／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《1719-2680》,《月序》,九月,大,建,甲戌,參宿　牛　金よう
《1719-2690》,《暦日2》,一／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1719-2700》,《暦日0》,二／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《1719-2710》,《暦日2》,三／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1719-2720》,《暦日0》,四／,みつのとのとり,とつ,,　,神よし 大みやう
《1719-2730》,《暦日2》,五／,きのえいぬ,たつ,火,　,くゑ日
《1719-2740》,《暦日0》,六／,きのとのい,のそく,,　,ちう日  田かりよし
《1719-2750》,《暦日2》,七／,ひのえね,みつ,水,とようむまの一刻ニ入,きこ 天火 らうしやく
《1719-2760》,《暦日0》,八／,ひのとのうし,たいら,,　,十し
《1719-2770》,《暦日2》,九／,つちのえとら,さたん,土,　,●
《1719-2780》,《暦日0》,十／,つちのとのう,とる,,九月中むまの五刻,神よし 大みやう ふく日  竹木こりよし
《1719-2790》,《暦日2》,十一／,かのえたつ,やふる,金,　
《1719-2800》,《暦日0》,十二／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
