«1757-0000»,【 カンマ区切りテキスト形式です。】
«1757-2190»,«暦日2»,二〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1757-2200»,«暦日0»,三〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1757-2210»,«暦日2»,四〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1757-2220»,«暦日0»,五〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1757-2230»,«暦日2»,六〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1757-2240»,«暦日0»,七〳,ひのとのとり,のそく,,　,十し
«1757-2250»,«節中»,処暑七月中とりの五刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1757-2260»,«暦日2»,八〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1757-2270»,«暦日0»,九〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1757-2280»,«暦日2»,十〳,かのえね,さたん,土,　,神よし ふく日
«1757-2290»,«暦日0»,十一〳,かのとのうし,とる,,　,●
«1757-2300»,«暦日2»,十二〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1757-2310»,«暦日0»,十三〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1757-2320»,«暦日2»,十四〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1757-2330»,«暦日0»,十五〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1757-2340»,«暦日2»,十六〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1757-2350»,«暦日0»,十七〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1757-2360»,«暦日2»,十八〳,つちのえさる,たつ,土,二百十日,天しや よろつよし
«1757-2370»,«暦日0»,十九〳,つちのとのとり,のそく,,　,十し
«1757-2380»,«暦日2»,廿〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1757-2390»,«暦日0»,廿一〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1757-2400»,«暦日1»,廿二〳,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
«1757-2410»,«節中»,白露八月せつ今夜ねの二刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1757-2420»,«暦日1»,廿三〳,みつのとのうし,さたん,木,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
«1757-2430»,«暦日2»,廿四〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1757-2440»,«暦日0»,廿五〳,きのとのう,やふる,,　,くゑ日 ふく日
«1757-2450»,«暦日2»,廿六〳,ひのえたつ,あやふ,土,ま日,きしく 大みやう 母倉
«1757-2460»,«暦日0»,廿七〳,ひのとのみ,なる,,　,十し
«1757-2470»,«暦日2»,廿八〳,つちのえむま,おさん,火,二百廿日|ま日,めつもん
«1757-2480»,«暦日0»,廿九〳,つちのとのひつし,ひらく,,　,●
«1757-2490»,«月序»,八月,大,建,己酉,軫宿　翼　火よう
«1757-2500»,«暦日2»,一〳,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
«1757-2510»,«暦日0»,二〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1757-2520»,«暦日2»,三〳,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
«1757-2530»,«暦日0»,四〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1757-2540»,«暦日2»,五〳,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
«1757-2550»,«暦日0»,六〳,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
«1757-2560»,«暦日2»,七〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
«1757-2570»,«暦日0»,八〳,ひのとのう,やふる,,ひかんニなる,天おん  田かりよし
