《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《2750》,《暦日0》,九／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《2760》,《暦日2》,十／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《2770》,《暦日0》,十一／,ひのとのみ,あやふ,,九月中夜ねの三刻,ちいみ ちう日 下しきひつしの時
《2780》,《暦日2》,十二／,つちのえむま,なる,火,ま日,神よし ふく日
《2790》,《暦日0》,十三／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《2800》,《暦日2》,十四／,かのえさる,ひらく,木,　,大みやう
《2810》,《暦日0》,十五／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《2820》,《暦日2》,十六／,みつのえいぬ,たつ,水,ま日, 田かりよし
《2830》,《暦日0》,十七／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《2840》,《暦日2》,十八／,きのえね,みつ,金,　,きこ 天火 らうしやく
《2850》,《暦日0》,十九／,きのとのうし,たいら,,　,十し
《2860》,《暦日2》,廿／,ひのえとら,さたん,火,　,●
《2870》,《暦日0》,廿一／,ひのとのう,とる,,　,神よし  田かりよし
《2880》,《暦日2》,廿二／,つちのえたつ,やふる,木,　,きしく 五む日 ふく日 わうまう
《2890》,《暦日0》,廿三／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《2900》,《暦日2》,廿四／,かのえむま,なる,土,　,神よし  みそすつくりよし
《2910》,《暦日0》,廿五／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《2920》,《暦日2》,廿六／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2930》,《暦日0》,廿七／,みつのとのとり,ひらく,,立冬十月せつうの初刻ニ入,十し
《2940》,《暦日2》,廿八／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《2950》,《暦日0》,廿九／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《2960》,《月序》,十月,大,建,辛亥,尾宿　氐　土よう
《2970》,《暦日2》,一／,ひのえね,のそく,水,　,ふく日
《2980》,《暦日0》,二／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《2990》,《暦日2》,三／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3000》,《暦日0》,四／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《3010》,《暦日2》,五／,かのえたつ,とる,金,　, けんふく よめとりよし
《3020》,《暦日0》,六／,かのとのみ,やふる,,　,ちう日
《3030》,《暦日2》,七／,みつのえむま,あやふ,木,　,大みやう ふく日 わうまう  かとたてよし
《3040》,《暦日0》,八／,みつのとのひつし,なる,,　
《3050》,《暦日2》,九／,きのえさる,おさん,水,十方くれニ入,●
《3060》,《暦日0》,十／,きのとのとり,ひらく,,　,十し
《3070》,《暦日2》,十一／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3080》,《暦日0》,十二／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3090》,《暦日2》,十三／,つちのえね,のそく,火,十月中みの五刻,くゑ日  たねまきよし
《3100》,《暦日0》,十四／,つちのとのうし,みつ,,　,くゑ日 きこ
