«1770-0000»,【 カンマ区切りテキスト形式です。】
«1770-2440»,«暦日0»,廿六〳,かのとのうし,とる,,　,●
«1770-2450»,«暦日2»,廿七〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1770-2460»,«暦日0»,廿八〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1770-2470»,«暦日1»,廿九〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1770-2480»,«月序»,七月,小,建,甲申,奎宿　觜　火よう
«1770-2490»,«暦日1»,一〳,きのとのみ,おさん,火,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1770-2500»,«節中»,処暑七月中いの二刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1770-2510»,«暦日2»,二〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1770-2520»,«暦日0»,三〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1770-2530»,«暦日2»,四〳,つちのえさる,たつ,土,　,天しや よろつよし
«1770-2540»,«暦日0»,五〳,つちのとのとり,のそく,,　,十し
«1770-2550»,«暦日2»,六〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1770-2560»,«暦日0»,七〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1770-2570»,«暦日2»,八〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1770-2580»,«暦日0»,九〳,みつのとのうし,とる,,ま日,●
«1770-2590»,«暦日2»,十〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1770-2600»,«暦日0»,十一〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1770-2610»,«暦日2»,十二〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1770-2620»,«暦日0»,十三〳,ひのとのみ,おさん,,二百十日,月とく 大くわ ちう日  ものたちよし
«1770-2630»,«暦日2»,十四〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1770-2640»,«暦日0»,十五〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1770-2650»,«暦日2»,十六〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1770-2660»,«暦日0»,十七〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1770-2670»,«節中»,白露八月せつ今暁うしの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1770-2680»,«暦日2»,十八〳,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
«1770-2690»,«暦日0»,十九〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1770-2700»,«暦日2»,廿〳,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
«1770-2710»,«暦日0»,廿一〳,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
«1770-2720»,«暦日2»,廿二〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
