«1689-0000»,【 カンマ区切りテキスト形式です。】
«1689-1960»,«暦日0»,廿二〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1689-1970»,«暦日2»,廿三〳,つちのえむま,とつ,火,ま日,●
«1689-1980»,«暦日0»,廿四〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1689-1990»,«暦日2»,廿五〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1689-2000»,«暦日0»,廿六〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1689-2010»,«暦日2»,廿七〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1689-2020»,«暦日0»,廿八〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1689-2030»,«暦日2»,廿九〳,きのえね,とる,金,　,きしく きこ 下しきたつの時
«1689-2040»,«暦日0»,卅〳,きのとのうし,やふる,,　,十し
«1689-2050»,«月序»,六月,小,建,辛未,井宿　星　日よう
«1689-2060»,«暦日2»,一〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1689-2070»,«暦日0»,二〳,ひのとのう,なる,,とよういの三刻ニ入,神よし 天火 らうしやく
«1689-2080»,«暦日2»,三〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1689-2090»,«暦日0»,四〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1689-2100»,«暦日2»,五〳,かのえむま,とつ,土,六月中いの八刻|中伏,●
«1689-2110»,«暦日0»,六〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1689-2120»,«暦日2»,七〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1689-2130»,«暦日0»,八〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1689-2140»,«暦日2»,九〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1689-2150»,«暦日0»,十〳,きのとのい,さたん,,　,ちう日
«1689-2160»,«暦日2»,十一〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1689-2170»,«暦日0»,十二〳,ひのとのうし,やふる,,　,十し
«1689-2180»,«暦日2»,十三〳,つちのえとら,あやふ,土,　,ふく日 わうまう  たねまき  つめとりよし
«1689-2190»,«暦日0»,十四〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1689-2200»,«暦日2»,十五〳,かのえたつ,おさん,金,　,めつもん  けんふくよし
«1689-2210»,«暦日0»,十六〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1689-2220»,«暦日2»,十七〳,みつのえむま,とつ,木,　,●
«1689-2230»,«暦日0»,十八〳,みつのとのひつし,たつ,,　, たねまきよし
«1689-2240»,«暦日2»,十九〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1689-2250»,«暦日0»,廿〳,きのとのとり,みつ,,　,神よし ちいみ
«1689-2260»,«暦日2»,廿一〳,ひのえいぬ,みつ,土,立秋七月せつとらの四刻ニ入,五む日
«1689-2270»,«暦日0»,廿二〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1689-2280»,«暦日2»,廿三〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1689-2290»,«暦日0»,廿四〳,つちのとのうし,とる,,　,●
«1689-2300»,«暦日2»,廿五〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1689-2310»,«暦日0»,廿六〳,かのとのう,あやふ,,　,神よし
«1689-2320»,«暦日2»,廿七〳,みつのえたつ,なる,水,　,きしく 大みやう 五む日 ちいみ
«1689-2330»,«暦日0»,廿八〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1689-2340»,«暦日1»,廿九〳,きのえむま,ひらく,金,　,ふく日 天火 らうしやく わうまう  かといてよし
«1689-2350»,«月序»,七月,大,建,壬申,鬼宿　張　月よう
«1689-2360»,«暦日1»,一〳,きのとのひつし,とつ,金,　,大みやう 五む日
«1689-2370»,«暦日2»,二〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1689-2380»,«暦日0»,三〳,ひのとのとり,のそく,,　,十し
«1689-2390»,«暦日2»,四〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
«1689-2400»,«暦日0»,五〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
