《1722-0000》,# カンマ区切りテキスト形式です。
《1722-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1722-2430》,《暦日0》,八／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1722-2440》,《暦日2》,九／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1722-2450》,《暦日0》,十／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1722-2460》,《暦日2》,十一／,きのえね,たいら,金,秋分八月中いぬの一刻,大くわ 地火  わたましよし
《1722-2470》,《暦日0》,十二／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1722-2480》,《暦日2》,十三／,ひのえとら,とる,火,ひかんニなる,きこ わうまう  つめとりよし
《1722-2490》,《暦日0》,十四／,ひのとのう,やふる,,　,さい下しき  田かりよし
《1722-2500》,《暦日2》,十五／,つちのえたつ,あやふ,木,社日,きしく 五む日  みそすつくりよし
《1722-2510》,《暦日0》,十六／,つちのとのみ,なる,,　,十し
《1722-2520》,《暦日2》,十七／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1722-2530》,《暦日0》,十八／,かのとのひつし,ひらく,,　,●
《1722-2540》,《暦日2》,十九／,みつのえさる,とつ,金,　,神よし 大みやう
《1722-2550》,《暦日0》,廿／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1722-2560》,《暦日2》,廿一／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1722-2570》,《暦日0》,廿二／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1722-2580》,《暦日2》,廿三／,ひのえね,たいら,水,　,大くわ 地火
《1722-2590》,《暦日0》,廿四／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1722-2600》,《暦日2》,廿五／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1722-2610》,《暦日0》,廿六／,つちのとのう,やふる,,　,大みやう
《1722-2620》,《暦日2》,廿七／,かのえたつ,やふる,金,かん露九月せつねの六刻ニ入
《1722-2630》,《暦日0》,廿八／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1722-2640》,《暦日1》,廿九／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1722-2650》,《月序》,九月,大,建,庚戌,角宿　女　土よう
《1722-2660》,《暦日1》,一／,みつのとのひつし,おさん,木,　,大くわ  むきまき 田かりよし
《1722-2670》,《暦日2》,二／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1722-2680》,《暦日0》,三／,きのとのとり,とつ,,　,神よし  田かりよし
《1722-2690》,《暦日2》,四／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1722-2700》,《暦日0》,五／,ひのとのい,のそく,,　,大みやう ちう日
《1722-2710》,《暦日2》,六／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1722-2720》,《暦日0》,七／,つちのとのうし,たいら,,　,十し
《1722-2730》,《暦日2》,八／,かのえとら,さたん,木,　,●
《1722-2740》,《暦日0》,九／,かのとのう,とる,,　,くゑ日
《1722-2750》,《暦日2》,十／,みつのえたつ,やふる,水,とようとらの七刻ニ入,大みやう 五む日 くゑ日
《1722-2760》,《暦日0》,十一／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1722-2770》,《暦日2》,十二／,きのえむま,なる,金,　,くゑ日
《1722-2780》,《暦日0》,十三／,きのとのひつし,おさん,,九月中うの三刻,大みやう 五む日 くゑ日 大くわ
《1722-2790》,《暦日2》,十四／,ひのえさる,ひらく,火,　,きしく くゑ日
《1722-2800》,《暦日0》,十五／,ひのとのとり,とつ,,　,くゑ日
《1722-2810》,《暦日2》,十六／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1722-2820》,《暦日0》,十七／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1722-2830》,《暦日2》,十八／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1722-2840》,《暦日0》,十九／,かのとのうし,たいら,,　,十し
《1722-2850》,《暦日2》,廿／,みつのえとら,さたん,金,　,●
《1722-2860》,《暦日0》,廿一／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1722-2870》,《暦日2》,廿二／,きのえたつ,やふる,火,　,大みやう
《1722-2880》,《暦日0》,廿三／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《1722-2890》,《暦日2》,廿四／,ひのえむま,なる,水,　,大みやう わうまう  いちたちよし
《1722-2900》,《暦日0》,廿五／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
