《1784-0000》,# カンマ区切りテキスト形式です。
《1784-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1784-0020》,# ・表の区画内での改行は“/”で表記します。
《1784-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1784-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1784-0050》,# 外部リンク
《1784-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/188 ～ 192
《1784-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1784g　(GitHub上データを表成型)
《1784-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1784h　(翻刻編集データを表成型 - 未実装)
《1784-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1784-0100》,《版元》,出版地○○,出版元□□□,　
《1784-2020》,《暦日2》,十八／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1784-2030》,《暦日0》,十九／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1784-2040》,《節中》,小暑六月せつとりの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1784-2050》,《暦日2》,廿／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1784-2060》,《暦日0》,廿一／,きのとのい,さたん,,　,ちう日
《1784-2070》,《暦日2》,廿二／,ひのえね,とる,水,　,きしく きこ 下しきたつの時
《1784-2080》,《暦日0》,廿三／,ひのとのうし,やふる,,　,十し
《1784-2090》,《暦日2》,廿四／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1784-2100》,《暦日0》,廿五／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1784-2110》,《暦日2》,廿六／,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
《1784-2120》,《暦日0》,廿七／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1784-2130》,《暦日2》,廿八／,みつのえむま,とつ,木,　,●
《1784-2140》,《暦日0》,廿九／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1784-2150》,《月序》,六月,大,建,辛未,壁宿　氐　土よう
《1784-2160》,《暦日2》,一／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1784-2170》,《暦日0》,二／,きのとのとり,みつ,,とよういの七刻ニ入,神よし ちいみ
《1784-2180》,《暦日2》,三／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1784-2190》,《暦日0》,四／,ひのとのい,さたん,,　,大みやう ちう日
《1784-2200》,《暦日1》,五／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1784-2210》,《節中》,大暑六月中今夜ねの三刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1784-2220》,《暦日1》,六／,つちのとのうし,やふる,火,　,十し
《1784-2230》,《暦日2》,七／,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
《1784-2240》,《暦日0》,八／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1784-2250》,《暦日2》,九／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1784-2260》,《暦日0》,十／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1784-2270》,《暦日2》,十一／,きのえむま,とつ,金,　,●
《1784-2280》,《暦日0》,十二／,きのとのひつし,たつ,,　,大みやう 五む日
《1784-2290》,《暦日2》,十三／,ひのえさる,のそく,火,　,わうまう
《1784-2300》,《暦日0》,十四／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1784-2310》,《暦日2》,十五／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1784-2320》,《暦日0》,十六／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1784-2330》,《暦日2》,十七／,かのえね,とる,土,　,きこ 下しきたつの時
《1784-2340》,《暦日0》,十八／,かのとのうし,やふる,,　,十し
《1784-2350》,《暦日2》,十九／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
