«1798-0000»,【 カンマ区切りテキスト形式です。】
«1798-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1798-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1798-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1798-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1798-0050»,【 外部リンク　】
«1798-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/252 ～ 256】
«1798-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1798h　(翻刻編集終了データを表成型して表示します)】
«1798-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1798ht (翻刻編集中データを表成型して表示します)】
«1798-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1798-0100»,«版元»,出版地○○,出版元□□□,　
«1798-2040»,«暦日2»,十七〳,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火 わうまう
«1798-2050»,«暦日0»,十八〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1798-2060»,«暦日2»,十九〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1798-2070»,«暦日0»,廿〳,みつのとのうし,やふる,,ま日,十し
«1798-2080»,«暦日2»,廿一〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1798-2090»,«暦日0»,廿二〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1798-2100»,«暦日2»,廿三〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1798-2110»,«暦日0»,廿四〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1798-2120»,«節中»,立秋七月せつさるの初刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1798-2130»,«暦日2»,廿五〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1798-2140»,«暦日0»,廿六〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1798-2150»,«暦日2»,廿七〳,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
«1798-2160»,«暦日0»,廿八〳,かのとのとり,のそく,,　,十し
«1798-2170»,«暦日1»,廿九〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1798-2180»,«月序»,七月,小,建,庚申,奎宿　昴　日よう
«1798-2190»,«暦日1»,一〳,みつのとのい,たいら,水,八せんのおはり,ちう日 めつもん 地火
«1798-2200»,«暦日2»,二〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1798-2210»,«暦日0»,三〳,きのとのうし,とる,,　,●
«1798-2220»,«暦日2»,四〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1798-2230»,«暦日0»,五〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1798-2240»,«暦日2»,六〳,つちのえたつ,なる,木,　,きしく 天おん 母倉 五む日 ちいみ  いちたちよし
«1798-2250»,«暦日0»,七〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1798-2260»,«暦日2»,八〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1798-2270»,«暦日0»,九〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1798-2280»,«暦日1»,十〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1798-2290»,«節中»,処暑七月中いぬの五刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
