«1779-0000»,【 カンマ区切りテキスト形式です。】
«1779-2330»,«暦日2»,十六〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1779-2340»,«暦日0»,十七〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1779-2350»,«暦日2»,十八〳,かのえね,さたん,土,　,さい下しき 神よし ふく日
«1779-2360»,«暦日0»,十九〳,かのとのうし,とる,,　,●
«1779-2370»,«暦日2»,廿〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1779-2380»,«暦日0»,廿一〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1779-2390»,«暦日2»,廿二〳,きのえたつ,なる,火,二百十日,大みやう くゑ日 ちいみ ふく日
«1779-2400»,«暦日0»,廿三〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1779-2410»,«暦日2»,廿四〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1779-2420»,«暦日0»,廿五〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1779-2430»,«暦日1»,廿六〳,つちのえさる,とつ,土,　,天しや よろつよし
«1779-2440»,«節中»,白露八月せつみの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1779-2450»,«暦日1»,廿七〳,つちのとのとり,たつ,土,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1779-2460»,«暦日2»,廿八〳,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
«1779-2470»,«暦日0»,廿九〳,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
«1779-2480»,«月序»,八月,大,建,癸酉,危宿　鬼　金よう
«1779-2490»,«暦日2»,一〳,みつのえね,たいら,木,八せんのはしめ,神よし きしく 天おん 大くわ 地火
«1779-2500»,«暦日0»,二〳,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
«1779-2510»,«暦日2»,三〳,きのえとら,とる,水,二百廿日,きこ  かまぬり 田かり  つめとりよし
«1779-2520»,«暦日0»,四〳,きのとのう,やふる,,　,くゑ日 ふく日
«1779-2530»,«暦日2»,五〳,ひのえたつ,あやふ,土,ま日,大みやう 母倉
«1779-2540»,«暦日0»,六〳,ひのとのみ,なる,,　,十し
«1779-2550»,«暦日2»,七〳,つちのえむま,おさん,火,ま日|社日,めつもん
«1779-2560»,«暦日0»,八〳,つちのとのひつし,ひらく,,　,●
«1779-2570»,«暦日2»,九〳,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
«1779-2580»,«暦日0»,十〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1779-2590»,«暦日2»,十一〳,みつのえいぬ,のそく,水,ま日|ひかんニなる,母倉 ちいみ  たねまきよし
«1779-2600»,«暦日0»,十二〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1779-2610»,«節中»,秋分八月中さるの三刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1779-2620»,«暦日2»,十三〳,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
«1779-2630»,«暦日0»,十四〳,きのとのうし,さたん,,　,天おん 母倉 月とく ふく日 わうまう  つめとりよし
