«1762-0000»,【 カンマ区切りテキスト形式です。】
«1762-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1762-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1762-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1762-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1762-0050»,【 外部リンク　】
«1762-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/82 ～ 86】
«1762-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1762h　(翻刻編集終了データを表成型して表示します)】
«1762-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1762ht (翻刻編集中データを表成型して表示します)】
«1762-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1762-0100»,«版元»,出版地○○,出版元□□□,　
«1762-2130»,«暦日2»,廿八〳,かのえとら,あやふ,木,初伏|とようむまの二刻ニ入,母倉  やたて  つめとりよし
«1762-2140»,«暦日0»,廿九〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1762-2150»,«月序»,六月,大,建,丁未,亢宿　箕　水よう
«1762-2160»,«暦日2»,一〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1762-2170»,«暦日0»,二〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1762-2180»,«節中»,大暑六月中むまの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1762-2190»,«暦日2»,三〳,きのえむま,とつ,金,　,●
«1762-2200»,«暦日0»,四〳,きのとのひつし,たつ,,　,大みやう 五む日
«1762-2210»,«暦日2»,五〳,ひのえさる,のそく,火,　,神よし
«1762-2220»,«暦日0»,六〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1762-2230»,«暦日2»,七〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1762-2240»,«暦日0»,八〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1762-2250»,«暦日2»,九〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1762-2260»,«暦日0»,十〳,かのとのうし,やふる,,　,十し
«1762-2270»,«暦日2»,十一〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1762-2280»,«暦日0»,十二〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1762-2290»,«暦日2»,十三〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1762-2300»,«暦日0»,十四〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1762-2310»,«暦日2»,十五〳,ひのえむま,とつ,水,　,●
