《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/97 ～ 101
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1710g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1710h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2480》,《暦日0》,十二／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2490》,《暦日2》,十三／,ひのえむま,おさん,水,八月せつさるの六刻ニ入,大みやう めつもん
《2500》,《暦日0》,十四／,ひのとのひつし,ひらく,,　,●
《2510》,《暦日2》,十五／,つちのえさる,とつ,土,　,天しや よろつよし
《2520》,《暦日0》,十六／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2530》,《暦日2》,十七／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2540》,《暦日0》,十八／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《2550》,《暦日2》,十九／,みつのえね,たいら,木,二百廿日/八せんのはしめ,神よし きしく 大くわ 地火
《2560》,《暦日0》,廿／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《2570》,《暦日2》,廿一／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2580》,《暦日0》,廿二／,きのとのう,やふる,,　,くゑ日 ふく日
《2590》,《暦日2》,廿三／,ひのえたつ,あやふ,土,ま日,大みやう
《2600》,《暦日0》,廿四／,ひのとのみ,なる,,　,十し
《2610》,《暦日2》,廿五／,つちのえむま,おさん,火,ま日/社日,めつもん
《2620》,《暦日0》,廿六／,つちのとのひつし,ひらく,,　,●
《2630》,《暦日2》,廿七／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《2640》,《暦日0》,廿八／,かのとのとり,たつ,,秋分八月中いの二刻,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2650》,《暦日1》,廿九／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《2660》,《月序》,閏八月,小,隨節用之,尾　火よう
《2670》,《暦日1》,一／,みつのとのい,みつ,水,八せんのおはり/ひかんニなる,ちう日 わうまう  いちたちよし
《2680》,《暦日2》,二／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《2690》,《暦日0》,三／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《2700》,《暦日2》,四／,ひのえとら,とる,火,　,きこ  つめとりよし
《2710》,《暦日0》,五／,ひのとのう,やふる,,　,さい下しき  田かりよし
《2720》,《暦日2》,六／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《2730》,《暦日0》,七／,つちのとのみ,なる,,　,十し
《2740》,《暦日2》,八／,かのえむま,おさん,土,　,めつもん  竹木こりよし
