《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2420》,《暦日2》,廿四／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2430》,《暦日0》,廿五／,きのとのとり,のそく,,　,十し
《2440》,《暦日2》,廿六／,ひのえいぬ,みつ,土,　,母倉 五む日
《2450》,《暦日0》,廿七／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2460》,《暦日2》,廿八／,つちのえね,さたん,火,　,きしく  けんふく くさかりよし
《2470》,《暦日0》,廿九／,つちのとのうし,とる,,　,●
《2480》,《月序》,八月,大,建,辛酉,斗宿　星　日よう
《2490》,《暦日2》,一／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2500》,《暦日0》,二／,かのとのう,あやふ,,二百十日,神よし
《2510》,《暦日2》,三／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2520》,《暦日0》,四／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2530》,《暦日2》,五／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2540》,《暦日0》,六／,きのとのひつし,ひらく,,　,●
《2550》,《節中》,白露八月せつひつしの七刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2560》,《暦日2》,七／,ひのえさる,とつ,火,　,神よし
《2570》,《暦日0》,八／,ひのとのとり,たつ,,　,さい下しき 天火 らうしやく 下しきむまの時
《2580》,《暦日2》,九／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2590》,《暦日0》,十／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2600》,《暦日2》,十一／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
