«1783-0000»,【 カンマ区切りテキスト形式です。】
«1783-2180»,«暦日0»,二〳,かのとのう,なる,,　,母倉 天火 らうしやく わうまう
«1783-2190»,«暦日2»,三〳,みつのえたつ,おさん,水,　,さい下しき 大みやう 五む日 めつもん
«1783-2200»,«暦日0»,四〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1783-2210»,«暦日2»,五〳,きのえむま,とつ,金,　,●
«1783-2220»,«暦日0»,六〳,きのとのひつし,たつ,,　,大みやう 五む日
«1783-2230»,«暦日2»,七〳,ひのえさる,のそく,火,　,神よし
«1783-2240»,«暦日0»,八〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1783-2250»,«暦日1»,九〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1783-2260»,«節中»,立秋七月せつ今夜ねの初刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1783-2270»,«暦日1»,十〳,つちのとのい,たいら,木,　,神よし ちう日 めつもん 地火
«1783-2280»,«暦日2»,十一〳,かのえね,さたん,土,末伏,神よし きしく ふく日
«1783-2290»,«暦日0»,十二〳,かのとのうし,とる,,　,●
«1783-2300»,«暦日2»,十三〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1783-2310»,«暦日0»,十四〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1783-2320»,«暦日2»,十五〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1783-2330»,«暦日0»,十六〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1783-2340»,«暦日2»,十七〳,ひのえむま,ひらく,水,　,大みやう 天火 らうしやく わうまう  かといてよし
«1783-2350»,«暦日0»,十八〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1783-2360»,«暦日2»,十九〳,つちのえさる,たつ,土,　,天しや よろつよし
«1783-2370»,«暦日0»,廿〳,つちのとのとり,のそく,,　,十し
«1783-2380»,«暦日2»,廿一〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1783-2390»,«暦日0»,廿二〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1783-2400»,«暦日2»,廿三〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1783-2410»,«暦日0»,廿四〳,みつのとのうし,とる,,ま日,●
«1783-2420»,«暦日1»,廿五〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1783-2430»,«節中»,処暑七月中今暁とらの六刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1783-2440»,«暦日1»,廿六〳,きのとのう,あやふ,水,　,神よし  くらたて かまぬりよし
«1783-2450»,«暦日2»,廿七〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1783-2460»,«暦日0»,廿八〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
«1783-2470»,«暦日2»,廿九〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1783-2480»,«暦日0»,卅〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
