«1707-0000»,【 カンマ区切りテキスト形式です。】
«1707-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1707-2320»,«暦日0»,廿九〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1707-2330»,«月序»,八月,大,建,己酉,婁宿　氐　土よう
«1707-2340»,«暦日2»,一〳,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
«1707-2350»,«暦日0»,二〳,かのとのみ,おさん,,　,大くわ ちう日
«1707-2360»,«暦日2»,三〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1707-2370»,«暦日0»,四〳,みつのとのひつし,とつ,,　
«1707-2380»,«暦日2»,五〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1707-2390»,«暦日0»,六〳,きのとのとり,のそく,,　,十し
«1707-2400»,«暦日2»,七〳,ひのえいぬ,みつ,土,二百十日,五む日
«1707-2410»,«暦日0»,八〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1707-2420»,«暦日2»,九〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1707-2430»,«暦日0»,十〳,つちのとのうし,とる,,　,●
«1707-2440»,«暦日2»,十一〳,かのえとら,とる,木,八月せつ夜ねの初刻ニ入,きこ  つめとりよし
«1707-2450»,«暦日0»,十二〳,かのとのう,やふる,,　,ふく日  田かりよし
«1707-2460»,«暦日2»,十三〳,みつのえたつ,あやふ,水,　,大みやう 五む日
«1707-2470»,«暦日0»,十四〳,みつのとのみ,なる,,天一天上,十し
«1707-2480»,«暦日2»,十五〳,きのえむま,おさん,金,　,めつもん
«1707-2490»,«暦日0»,十六〳,きのとのひつし,ひらく,,　,●
«1707-2500»,«暦日2»,十七〳,ひのえさる,とつ,火,二百廿日,神よし
«1707-2510»,«暦日0»,十八〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1707-2520»,«暦日2»,十九〳,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
«1707-2530»,«暦日0»,廿〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1707-2540»,«暦日2»,廿一〳,かのえね,たいら,土,　,さい下しき 神よし きしく 大くわ 地火
«1707-2550»,«暦日0»,廿二〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1707-2560»,«暦日2»,廿三〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1707-2570»,«暦日0»,廿四〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1707-2580»,«暦日2»,廿五〳,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
«1707-2590»,«暦日0»,廿六〳,きのとのみ,なる,,　,十し
«1707-2600»,«暦日2»,廿七〳,ひのえむま,おさん,水,秋分八月中とらの五刻,大みやう めつもん
«1707-2610»,«暦日0»,廿八〳,ひのとのひつし,ひらく,,　,●
«1707-2620»,«暦日2»,廿九〳,つちのえさる,とつ,土,社日|ひかんニなる,天しや よろつよし
«1707-2630»,«暦日0»,卅〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1707-2640»,«月序»,九月,小,建,庚戌,胃宿　心　月よう
«1707-2650»,«暦日2»,一〳,かのえいぬ,のそく,金,　,大みやう ちいみ
«1707-2660»,«暦日0»,二〳,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
«1707-2670»,«暦日2»,三〳,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
«1707-2680»,«暦日0»,四〳,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
«1707-2690»,«暦日2»,五〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1707-2700»,«暦日0»,六〳,きのとのう,やふる,,　,くゑ日 ふく日
«1707-2710»,«暦日2»,七〳,ひのえたつ,あやふ,土,ま日,大みやう
«1707-2720»,«暦日0»,八〳,ひのとのみ,なる,,　,十し
«1707-2730»,«暦日2»,九〳,つちのえむま,おさん,火,ま日,めつもん
«1707-2740»,«暦日0»,十〳,つちのとのひつし,ひらく,,　,●
«1707-2750»,«暦日2»,十一〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1707-2760»,«暦日0»,十二〳,かのとのとり,とつ,,かん露九月せつみの二刻ニ入,神よし 大みやう  いちたちよし
«1707-2770»,«暦日2»,十三〳,みつのえいぬ,たつ,水,ま日, 田かりよし
«1707-2780»,«暦日0»,十四〳,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
«1707-2790»,«暦日2»,十五〳,きのえね,みつ,金,　,きこ 天火 らうしやく
«1707-2800»,«暦日0»,十六〳,きのとのうし,たいら,,　,十し
«1707-2810»,«食記»,月そく皆つくる
«1707-2820»,«暦日2»,十七〳,ひのえとら,さたん,火,　,●
«1707-2830»,«暦日0»,十八〳,ひのとのう,とる,,　,神よし  田かりよし
«1707-2840»,«暦日2»,十九〳,つちのえたつ,やふる,木,　,きしく 五む日 ふく日
«1707-2850»,«暦日0»,廿〳,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
«1707-2860»,«暦日2»,廿一〳,かのえむま,なる,土,　,神よし  みそすつくりよし
«1707-2870»,«暦日0»,廿二〳,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
