《1687-0000》,# カンマ区切りテキスト形式です。
《1687-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1687-2330》,《暦日0》,廿九／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1687-2340》,《暦日1》,卅／,ひのえむま,おさん,水,八月せつとらの初刻ニ入,大みやう めつもん
《1687-2350》,《月序》,八月,小,建,己酉,軫宿　昴　日よう
《1687-2360》,《暦日1》,一／,ひのとのひつし,ひらく,水,　,●
《1687-2370》,《暦日2》,二／,つちのえさる,とつ,土,　,天しや よろつよし
《1687-2380》,《暦日0》,三／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1687-2390》,《暦日2》,四／,かのえいぬ,のそく,金,　,大みやう ちいみ
《1687-2400》,《暦日0》,五／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《1687-2410》,《暦日2》,六／,みつのえね,たいら,木,二百廿日/八せんのはしめ,神よし きしく 大くわ 地火
《1687-2420》,《暦日0》,七／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1687-2430》,《暦日2》,八／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1687-2440》,《暦日0》,九／,きのとのう,やふる,,　,くゑ日 ふく日
《1687-2450》,《暦日2》,十／,ひのえたつ,あやふ,土,ま日,大みやう
《1687-2460》,《暦日0》,十一／,ひのとのみ,なる,,　,十し
《1687-2470》,《暦日2》,十二／,つちのえむま,おさん,火,ま日/社日,めつもん
《1687-2480》,《暦日0》,十三／,つちのとのひつし,ひらく,,　,●
《1687-2490》,《暦日2》,十四／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《1687-2500》,《暦日0》,十五／,かのとのとり,たつ,,秋分八月中たつの五刻,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1687-2510》,《暦日2》,十六／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1687-2520》,《暦日0》,十七／,みつのとのい,みつ,,八せんのおはり/ひかんニなる,ちう日 わうまう  いちたちよし
《1687-2530》,《暦日2》,十八／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《1687-2540》,《暦日0》,十九／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1687-2550》,《暦日2》,廿／,ひのえとら,とる,火,　,きこ  つめとりよし
《1687-2560》,《暦日0》,廿一／,ひのとのう,やふる,,　, 田かりよし
《1687-2570》,《暦日2》,廿二／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《1687-2580》,《暦日0》,廿三／,つちのとのみ,なる,,　,十し
《1687-2590》,《暦日2》,廿四／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1687-2600》,《暦日0》,廿五／,かのとのひつし,ひらく,,　,●
《1687-2610》,《暦日2》,廿六／,みつのえさる,とつ,金,　,神よし 大みやう
《1687-2620》,《暦日0》,廿七／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1687-2630》,《暦日2》,廿八／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1687-2640》,《暦日0》,廿九／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1687-2650》,《月序》,九月,大,建,庚戌,角宿　畢　月よう
《1687-2660》,《暦日2》,一／,ひのえね,みつ,水,かん露九月せつひつしの二刻ニ入,きこ 天火 らうしやく
《1687-2670》,《暦日0》,二／,ひのとのうし,たいら,,　,十し
《1687-2680》,《暦日2》,三／,つちのえとら,さたん,土,　,●
《1687-2690》,《暦日0》,四／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《1687-2700》,《暦日2》,五／,かのえたつ,やふる,金,　,きしく
《1687-2710》,《暦日0》,六／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1687-2720》,《暦日2》,七／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1687-2730》,《暦日0》,八／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《1687-2740》,《暦日2》,九／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1687-2750》,《暦日0》,十／,きのとのとり,とつ,,　,神よし  田かりよし
《1687-2760》,《暦日2》,十一／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1687-2770》,《暦日0》,十二／,ひのとのい,のそく,,　,大みやう ちう日
《1687-2780》,《暦日2》,十三／,つちのえね,みつ,火,とようとりの三刻ニ入,きこ ふく日 天火 らうしやく
《1687-2790》,《暦日0》,十四／,つちのとのうし,たいら,,　,十し
《1687-2800》,《暦日2》,十五／,かのえとら,さたん,木,　,●
《1687-2810》,《暦日0》,十六／,かのとのう,とる,,九月中とりの七刻,くゑ日
《1687-2820》,《暦日2》,十七／,みつのえたつ,やふる,水,　,さい下しき 大みやう 五む日 くゑ日
《1687-2830》,《暦日0》,十八／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1687-2840》,《暦日2》,十九／,きのえむま,なる,金,　,くゑ日
《1687-2850》,《暦日0》,廿／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1687-2860》,《暦日2》,廿一／,ひのえさる,ひらく,火,　,くゑ日
《1687-2870》,《暦日0》,廿二／,ひのとのとり,とつ,,　,くゑ日
《1687-2880》,《暦日2》,廿三／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1687-2890》,《暦日0》,廿四／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1687-2900》,《暦日2》,廿五／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1687-2910》,《暦日0》,廿六／,かのとのうし,たいら,,　,十し
《1687-2920》,《暦日2》,廿七／,みつのえとら,さたん,金,　,●
《1687-2930》,《暦日0》,廿八／,みつのとのう,とる,,　,神よし  けんふく かといてよし
